Date,Time,EVN_level_m,Baro_level_m,EVN_compensated_m,EVN_temp_C
10/14/2020,3:30:00 PM,9.5542,9.2465,0.3077,9.334
10/14/2020,4:00:00 PM,9.553,9.24636,0.30664,9.112
10/14/2020,4:30:00 PM,9.5527,9.24533,0.30737,9.049
10/14/2020,5:00:00 PM,9.5522,9.24433,0.30787,9.006
10/14/2020,5:30:00 PM,9.552,9.24504,0.30696,8.964
10/14/2020,6:00:00 PM,9.5521,9.24554,0.30656,8.925
10/14/2020,6:30:00 PM,9.5532,9.24559,0.30761,8.893
10/14/2020,7:00:00 PM,9.5545,9.24679,0.30771,8.861
10/14/2020,7:30:00 PM,9.5553,9.24963,0.30567,8.821
10/14/2020,8:00:00 PM,9.5558,9.25025,0.30555,8.782
10/14/2020,8:30:00 PM,9.557,9.25095,0.30605,8.744
10/14/2020,9:00:00 PM,9.5574,9.25224,0.30516,8.703
10/14/2020,9:30:00 PM,9.5594,9.25672,0.30268,8.654
10/14/2020,10:00:00 PM,9.5634,9.26204,0.30136,8.622
10/14/2020,10:30:00 PM,9.5666,9.26406,0.30254,8.599
10/14/2020,11:00:00 PM,9.5688,9.26597,0.30283,8.565
10/14/2020,11:30:00 PM,9.5696,9.26557,0.30403,8.55
10/15/2020,12:00:00 AM,9.5698,9.26823,0.30157,8.524
10/15/2020,12:30:00 AM,9.5713,9.26926,0.30204,8.511
10/15/2020,1:00:00 AM,9.5726,9.27124,0.30136,8.496
10/15/2020,1:30:00 AM,9.5729,9.2714,0.3015,8.478
10/15/2020,2:00:00 AM,9.5729,9.27175,0.30115,8.477
10/15/2020,2:30:00 AM,9.5739,9.27234,0.30156,8.485
10/15/2020,3:00:00 AM,9.5744,9.27275,0.30165,8.479
10/15/2020,3:30:00 AM,9.5739,9.27332,0.30058,8.452
10/15/2020,4:00:00 AM,9.5734,9.27202,0.30138,8.431
10/15/2020,4:30:00 AM,9.5721,9.27167,0.30043,8.41
10/15/2020,5:00:00 AM,9.5719,9.2723,0.2996,8.395
10/15/2020,5:30:00 AM,9.5721,9.27081,0.30129,8.398
10/15/2020,6:00:00 AM,9.5713,9.26971,0.30159,8.392
10/15/2020,6:30:00 AM,9.5731,9.27449,0.29861,8.388
10/15/2020,7:00:00 AM,9.5746,9.27525,0.29935,8.373
10/15/2020,7:30:00 AM,9.5757,9.27753,0.29817,8.371
10/15/2020,8:00:00 AM,9.5773,9.27888,0.29842,8.359
10/15/2020,8:30:00 AM,9.5803,9.2804,0.2999,8.384
10/15/2020,9:00:00 AM,9.582,9.27945,0.30255,8.447
10/15/2020,9:30:00 AM,9.5844,9.2793,0.3051,8.54
10/15/2020,10:00:00 AM,9.5884,9.28245,0.30595,8.638
10/15/2020,10:30:00 AM,9.5901,9.28132,0.30878,8.73
10/15/2020,11:00:00 AM,9.5911,9.28053,0.31057,8.826
10/15/2020,11:30:00 AM,9.5929,9.27984,0.31306,8.91
10/15/2020,12:00:00 PM,9.5916,9.27587,0.31573,8.989
10/15/2020,12:30:00 PM,9.59,9.27226,0.31774,9.066
10/15/2020,1:00:00 PM,9.585,9.2658,0.3192,9.111
10/15/2020,1:30:00 PM,9.5818,9.26191,0.31989,9.142
10/15/2020,2:00:00 PM,9.5736,9.25404,0.31956,9.184
10/15/2020,2:30:00 PM,9.5709,9.25166,0.31924,9.192
10/15/2020,3:00:00 PM,9.5661,9.24625,0.31985,9.182
10/15/2020,3:30:00 PM,9.5627,9.24388,0.31882,9.155
10/15/2020,4:00:00 PM,9.5596,9.24305,0.31655,9.112
10/15/2020,4:30:00 PM,9.5583,9.2399,0.3184,9.071
10/15/2020,5:00:00 PM,9.5568,9.23916,0.31764,9.033
10/15/2020,5:30:00 PM,9.5555,9.23879,0.31671,8.982
10/15/2020,6:00:00 PM,9.5546,9.23549,0.31911,8.941
10/15/2020,6:30:00 PM,9.5544,9.23645,0.31795,8.92
10/15/2020,7:00:00 PM,9.5582,9.23771,0.32049,8.909
10/15/2020,7:30:00 PM,9.5573,9.23778,0.31952,8.893
10/15/2020,8:00:00 PM,9.5605,9.24125,0.31925,8.875
10/15/2020,8:30:00 PM,9.5595,9.23898,0.32052,8.871
10/15/2020,9:00:00 PM,9.5594,9.24204,0.31736,8.859
10/15/2020,9:30:00 PM,9.5604,9.24405,0.31635,8.813
10/15/2020,10:00:00 PM,9.5638,9.25034,0.31346,8.766
10/15/2020,10:30:00 PM,9.5641,9.2498,0.3143,8.736
10/15/2020,11:00:00 PM,9.5652,9.25318,0.31202,8.719
10/15/2020,11:30:00 PM,9.5666,9.25374,0.31286,8.699
10/16/2020,12:00:00 AM,9.566,9.25476,0.31124,8.671
10/16/2020,12:30:00 AM,9.5669,9.25732,0.30958,8.64
10/16/2020,1:00:00 AM,9.5651,9.25643,0.30867,8.613
10/16/2020,1:30:00 AM,9.5649,9.25566,0.30924,8.602
10/16/2020,2:00:00 AM,9.5649,9.25614,0.30876,8.596
10/16/2020,2:30:00 AM,9.5647,9.25584,0.30886,8.575
10/16/2020,3:00:00 AM,9.5641,9.2557,0.3084,8.553
10/16/2020,3:30:00 AM,9.5633,9.25576,0.30754,8.54
10/16/2020,4:00:00 AM,9.5627,9.2552,0.3075,8.52
10/16/2020,4:30:00 AM,9.5607,9.25327,0.30743,8.498
10/16/2020,5:00:00 AM,9.5619,9.25539,0.30651,8.476
10/16/2020,5:30:00 AM,9.5623,9.25634,0.30596,8.475
10/16/2020,6:00:00 AM,9.5625,9.2561,0.3064,8.46
10/16/2020,6:30:00 AM,9.5622,9.25609,0.30611,8.45
10/16/2020,7:00:00 AM,9.5612,9.25639,0.30481,8.43
10/16/2020,7:30:00 AM,9.5613,9.25653,0.30477,8.417
10/16/2020,8:00:00 AM,9.5619,9.25629,0.30561,8.425
10/16/2020,8:30:00 AM,9.5628,9.25518,0.30762,8.456
10/16/2020,9:00:00 AM,9.5657,9.25736,0.30834,8.522
10/16/2020,9:30:00 AM,9.5673,9.25528,0.31202,8.61
10/16/2020,10:00:00 AM,9.5683,9.25358,0.31472,8.711
10/16/2020,10:30:00 AM,9.5686,9.25144,0.31716,8.803
10/16/2020,11:00:00 AM,9.5685,9.25083,0.31767,8.895
10/16/2020,11:30:00 AM,9.5664,9.24802,0.31838,8.972
10/16/2020,12:00:00 PM,9.5639,9.24362,0.32028,9.056
10/16/2020,12:30:00 PM,9.561,9.2399,0.3211,9.126
10/16/2020,1:00:00 PM,9.5571,9.23471,0.32239,9.176
10/16/2020,1:30:00 PM,9.5462,9.23049,0.31571,9.198
10/16/2020,2:00:00 PM,9.5436,9.22698,0.31662,9.244
10/16/2020,2:30:00 PM,9.5403,9.22134,0.31896,9.24
10/16/2020,3:00:00 PM,9.5354,9.21566,0.31974,9.228
10/16/2020,3:30:00 PM,9.5333,9.21279,0.32051,9.211
10/16/2020,4:00:00 PM,9.5295,9.21212,0.31738,9.162
