Date,Time,LEVEL,TEMPERATURE
2/2/2021,14:15:00,0.1609,8.332
2/2/2021,14:30:00,0.159,8.349
2/2/2021,14:45:00,0.1583,8.382
2/2/2021,15:00:00,0.157,8.416
2/2/2021,15:15:00,0.157,8.454
2/2/2021,15:30:00,0.1561,8.511
2/2/2021,15:45:00,0.1542,8.531
2/2/2021,16:00:00,0.1546,8.547
2/2/2021,16:15:00,0.1547,8.542
2/2/2021,16:30:00,0.154,8.518
2/2/2021,16:45:00,0.1517,8.486
2/2/2021,17:00:00,0.1509,8.436
2/2/2021,17:15:00,0.1511,8.386
2/2/2021,17:30:00,0.1487,8.341
2/2/2021,17:45:00,0.1507,8.276
2/2/2021,18:00:00,0.1402,7.732
2/2/2021,18:15:00,0.1382,7.469
2/2/2021,18:30:00,0.132,7.116
2/2/2021,18:45:00,0.1368,7.063
2/2/2021,19:00:00,0.1373,7.18
2/2/2021,19:15:00,0.1383,7.266
2/2/2021,19:30:00,0.1427,7.363
2/2/2021,19:45:00,0.1439,7.404
2/2/2021,20:00:00,0.1443,7.406
2/2/2021,20:15:00,0.1439,7.39
2/2/2021,20:30:00,0.1411,7.351
2/2/2021,20:45:00,0.1415,7.311
2/2/2021,21:00:00,0.1425,7.28
2/2/2021,21:15:00,0.1416,7.243
2/2/2021,21:30:00,0.1411,7.213
2/2/2021,21:45:00,0.1407,7.184
2/2/2021,22:00:00,0.1423,7.16
2/2/2021,22:15:00,0.1412,7.131
2/2/2021,22:30:00,0.142,7.114
2/2/2021,22:45:00,0.1416,7.087
2/2/2021,23:00:00,0.1413,7.059
2/2/2021,23:15:00,0.1412,7.03
2/2/2021,23:30:00,0.1413,7.013
2/2/2021,23:45:00,0.1395,7.001
2/3/2021,0:00:00,0.1459,6.988
2/3/2021,0:15:00,0.1452,6.98
2/3/2021,0:30:00,0.146,6.979
2/3/2021,0:45:00,0.1436,6.987
2/3/2021,1:00:00,0.1442,6.995
2/3/2021,1:15:00,0.1437,7.013
2/3/2021,1:30:00,0.1466,7.031
2/3/2021,1:45:00,0.1468,7.047
2/3/2021,2:00:00,0.1486,7.07
2/3/2021,2:15:00,0.1487,7.08
