Date,Time,DateTime,LEVEL,TEMPERATURE,Calc Flow (cfs)
7/12/2019,13:00:00,7/12/2019 13:00,0.1926,10.07,4.57728897
7/12/2019,13:15:00,7/12/2019 13:15,0.19,9.946,4.469569057
7/12/2019,13:30:00,7/12/2019 13:30,0.1925,9.958,4.573125544
7/12/2019,13:45:00,7/12/2019 13:45,0.1913,9.962,4.523291357
7/12/2019,14:00:00,7/12/2019 14:00,0.1927,9.952,4.581454023
7/12/2019,14:15:00,7/12/2019 14:15,0.1871,9.941,4.350721487
7/12/2019,14:30:00,7/12/2019 14:30,0.1953,9.936,4.690315562
7/12/2019,14:45:00,7/12/2019 14:45,0.193,9.923,4.593958938
7/12/2019,15:00:00,7/12/2019 15:00,0.1965,9.917,4.7409291
7/12/2019,15:15:00,7/12/2019 15:15,0.1948,9.914,4.66929545
7/12/2019,15:30:00,7/12/2019 15:30,0.1954,9.889,4.694524448
7/12/2019,15:45:00,7/12/2019 15:45,0.1918,9.869,4.544027113
7/12/2019,16:00:00,7/12/2019 16:00,0.1973,9.819,4.774800943
7/12/2019,16:15:00,7/12/2019 16:15,0.192,9.758,4.552332813
7/12/2019,16:30:00,7/12/2019 16:30,0.1969,9.689,4.757852081
7/12/2019,16:45:00,7/12/2019 16:45,0.1974,9.61,4.7790422
7/12/2019,17:00:00,7/12/2019 17:00,0.1893,9.536,4.440755864
7/12/2019,17:15:00,7/12/2019 17:15,0.1871,9.473,4.350721487
7/12/2019,17:30:00,7/12/2019 17:30,0.1889,9.435,4.42432711
7/12/2019,17:45:00,7/12/2019 17:45,0.1894,9.408,4.444867136
7/12/2019,18:00:00,7/12/2019 18:00,0.1827,9.372,4.173033536
7/12/2019,18:15:00,7/12/2019 18:15,0.1813,9.342,4.117164548
7/12/2019,18:30:00,7/12/2019 18:30,0.1842,9.305,4.233251536
7/12/2019,18:45:00,7/12/2019 18:45,0.1831,9.259,4.189055449
7/12/2019,19:00:00,7/12/2019 19:00,0.1863,9.225,4.31817816
7/12/2019,19:15:00,7/12/2019 19:15,0.1872,9.136,4.354796776
7/12/2019,19:30:00,7/12/2019 19:30,0.1842,9.036,4.233251536
7/12/2019,19:45:00,7/12/2019 19:45,0.1875,8.989,4.36703247
7/12/2019,20:00:00,7/12/2019 20:00,0.1843,8.942,4.237279233
7/12/2019,20:15:00,7/12/2019 20:15,0.187,8.918,4.346647835
7/12/2019,20:30:00,7/12/2019 20:30,0.1831,8.885,4.189055449
7/12/2019,20:45:00,7/12/2019 20:45,0.1862,8.844,4.314117621
7/12/2019,21:00:00,7/12/2019 21:00,0.1835,8.809,4.205103713
7/12/2019,21:15:00,7/12/2019 21:15,0.1883,8.757,4.39973301
7/12/2019,21:30:00,7/12/2019 21:30,0.1828,8.71,4.177036543
7/12/2019,21:45:00,7/12/2019 21:45,0.1855,8.683,4.28573978
7/12/2019,22:00:00,7/12/2019 22:00,0.1842,8.653,4.233251536
7/12/2019,22:15:00,7/12/2019 22:15,0.1851,8.62,4.269559981
7/12/2019,22:30:00,7/12/2019 22:30,0.1847,8.588,4.25340646
7/12/2019,22:45:00,7/12/2019 22:45,0.186,8.572,4.306001463
7/12/2019,23:00:00,7/12/2019 23:00,0.1862,8.562,4.314117621
7/12/2019,23:15:00,7/12/2019 23:15,0.1863,8.558,4.31817816
7/12/2019,23:30:00,7/12/2019 23:30,0.1866,8.546,4.330369615
7/12/2019,23:45:00,7/12/2019 23:45,0.1885,8.537,4.407924504
7/13/2019,0:00:00,7/13/2019 0:00,0.1861,8.536,4.310058722
7/13/2019,0:15:00,7/13/2019 0:15,0.1863,8.531,4.31817816
7/13/2019,0:30:00,7/13/2019 0:30,0.1868,8.526,4.338505447
7/13/2019,0:45:00,7/13/2019 0:45,0.1866,8.51,4.330369615
7/13/2019,1:00:00,7/13/2019 1:00,0.1876,8.499,4.37111431
7/13/2019,1:15:00,7/13/2019 1:15,0.1875,8.476,4.36703247
7/13/2019,1:30:00,7/13/2019 1:30,0.1885,8.463,4.407924504
7/13/2019,1:45:00,7/13/2019 1:45,0.1887,8.449,4.416122538
7/13/2019,2:00:00,7/13/2019 2:00,0.1883,8.441,4.39973301
7/13/2019,2:15:00,7/13/2019 2:15,0.1877,8.433,4.375197787
7/13/2019,2:30:00,7/13/2019 2:30,0.1872,8.429,4.354796776
7/13/2019,2:45:00,7/13/2019 2:45,0.1871,8.421,4.350721487
7/13/2019,3:00:00,7/13/2019 3:00,0.1885,8.417,4.407924504
7/13/2019,3:15:00,7/13/2019 3:15,0.1879,8.412,4.38336965
