date,Julian_Day,water_year,daily_mean_cfs
2016-07-07,189,2016,6.163636363636364
2016-07-08,190,2016,6.835416666666666
2016-07-09,191,2016,6.991666666666666
2016-07-10,192,2016,6.602083333333333
2016-07-11,193,2016,6.510416666666667
2016-07-12,194,2016,6.289583333333333
2016-07-13,195,2016,6.09375
2016-07-14,196,2016,5.972916666666666
2016-07-15,197,2016,6.052083333333333
2016-07-16,198,2016,5.86875
2016-07-17,199,2016,5.85625
2016-07-18,200,2016,5.997916666666667
2016-07-19,201,2016,6.139583333333333
2016-07-20,202,2016,6.09375
2016-07-21,203,2016,5.697916666666667
2016-07-22,204,2016,5.34375
2016-07-23,205,2016,5.33125
2016-07-24,206,2016,5.3875
2016-07-25,207,2016,5.1625
2016-07-26,208,2016,4.997916666666667
2016-07-27,209,2016,4.902083333333334
2016-07-28,210,2016,4.633333333333334
2016-07-29,211,2016,4.577083333333333
2016-07-30,212,2016,4.470833333333333
2016-07-31,213,2016,4.320833333333333
2016-08-01,214,2016,4.208333333333333
2016-08-02,215,2016,5.433333333333334
2016-08-03,216,2016,5.925
2016-08-04,217,2016,5.902083333333334
2016-08-05,218,2016,6.077083333333333
2016-08-06,219,2016,6.354166666666667
2016-08-07,220,2016,6.270833333333333
2016-08-08,221,2016,6.29375
2016-08-09,222,2016,6.314583333333333
2016-08-10,223,2016,6.408333333333333
2016-08-11,224,2016,6.31875
2016-08-12,225,2016,6.177083333333333
2016-08-13,226,2016,6.120833333333334
2016-08-14,227,2016,6.1
2016-08-15,228,2016,6.120833333333334
2016-08-16,229,2016,5.985416666666667
2016-08-17,230,2016,5.970833333333333
2016-08-18,231,2016,5.90625
2016-08-19,232,2016,5.71875
2016-08-20,233,2016,4.960416666666667
2016-08-21,234,2016,4.94375
2016-08-22,235,2016,4.995833333333334
2016-08-23,236,2016,5.072916666666667
2016-08-24,237,2016,5.241666666666666
2016-08-25,238,2016,5.3125
2016-08-26,239,2016,5.63125
2016-08-27,240,2016,5.54375
2016-08-28,241,2016,5.720833333333333
2016-08-29,242,2016,5.633333333333333
2016-08-30,243,2016,5.7125
2016-08-31,244,2016,5.710416666666666
2016-09-01,245,2016,5.75625
2016-09-02,246,2016,5.7375
2016-09-03,247,2016,5.735416666666667
2016-09-04,248,2016,5.983333333333333
2016-09-05,249,2016,5.858333333333333
2016-09-06,250,2016,5.785416666666666
2016-09-07,251,2016,5.854166666666667
2016-09-08,252,2016,5.708333333333333
2016-09-09,253,2016,5.6625
2016-09-10,254,2016,5.641666666666667
2016-09-11,255,2016,5.73125
2016-09-12,256,2016,5.66875
2016-09-13,257,2016,5.41875
2016-09-14,258,2016,5.539583333333334
2016-09-15,259,2016,5.772916666666666
2016-09-16,260,2016,5.66875
2016-09-17,261,2016,5.74375
2016-09-18,262,2016,5.73125
2016-09-19,263,2016,5.8125
2016-09-20,264,2016,5.916666666666667
2016-09-21,265,2016,6.191666666666666
2016-09-22,266,2016,7.075
2016-09-23,267,2016,6.8625
2016-09-24,268,2016,6.75625
2016-09-25,269,2016,6.579166666666667
2016-09-26,270,2016,6.558333333333334
2016-09-27,271,2016,6.272916666666666
2016-09-28,272,2016,6.208333333333333
2016-09-29,273,2016,6.272916666666666
2016-09-30,274,2016,6.216666666666667
2016-10-01,275,2017,6.197916666666667
2016-10-02,276,2017,7.004166666666666
2016-10-03,277,2017,7.289583333333334
2016-10-04,278,2017,7.216666666666667
2016-10-05,279,2017,7.070833333333333
2016-10-06,280,2017,7.158333333333333
2016-10-07,281,2017,6.76875
2016-10-08,282,2017,6.666666666666666
2016-10-09,283,2017,6.597916666666666
2016-10-10,284,2017,6.6187499999999995
2016-10-11,285,2017,6.545833333333333
2016-10-12,286,2017,6.547916666666667
2016-10-13,287,2017,6.8375
2016-10-14,288,2017,11.4375
2016-10-15,289,2017,7.7625
2016-10-16,290,2017,9.504166666666666
2016-10-17,291,2017,10.704166666666667
2016-10-18,292,2017,10.297916666666666
2016-10-19,293,2017,8.5375
2016-10-20,294,2017,7.885714285714286
2016-10-21,295,2017,7.85
2016-10-22,296,2017,7.852083333333333
2016-10-23,297,2017,7.779166666666667
2016-10-24,298,2017,7.90625
2016-10-25,299,2017,9.741666666666667
2016-10-26,300,2017,8.654166666666667
2016-10-27,301,2017,12.520833333333334
2016-10-28,302,2017,13.466666666666667
2016-10-29,303,2017,22.2625
2016-10-30,304,2017,32.225
2016-10-31,305,2017,19.3375
2016-11-01,306,2017,16.51875
2016-11-02,307,2017,14.370833333333334
2016-11-03,308,2017,13.6
2016-11-04,309,2017,13.1375
2016-11-05,310,2017,13.13125
2016-11-06,311,2017,13.30625
2016-11-07,312,2017,13.09375
2016-11-08,313,2017,12.841666666666667
2016-11-09,314,2017,12.647916666666667
2016-11-10,315,2017,12.295744680851064
2016-11-11,316,2017,12.254166666666666
2016-11-12,317,2017,12.3375
2016-11-13,318,2017,12.279166666666667
2016-11-14,319,2017,12.445833333333333
2016-11-15,320,2017,24.125
2016-11-16,321,2017,20.347916666666666
2016-11-17,322,2017,15.814583333333333
2016-11-18,323,2017,14.502083333333333
2016-11-19,324,2017,14.379166666666666
2016-11-20,325,2017,15.6
2016-11-21,326,2017,16.216666666666665
2016-11-22,327,2017,15.297916666666666
2016-11-23,328,2017,15.55
2016-11-24,329,2017,15.577083333333333
2016-11-25,330,2017,15.116666666666667
2016-11-26,331,2017,14.854166666666666
2016-11-27,332,2017,14.15
2016-11-28,333,2017,14.560416666666667
2016-11-29,334,2017,14.316666666666666
2016-11-30,335,2017,14.4375
2016-12-01,336,2017,13.4
2016-12-02,337,2017,13.275
2016-12-03,338,2017,13.335416666666667
2016-12-04,339,2017,13.454166666666666
2016-12-05,340,2017,16.7125
2016-12-06,341,2017,14.989583333333334
2016-12-07,342,2017,11.13125
2016-12-08,343,2017,14.545833333333333
2016-12-09,344,2017,15.241666666666667
2016-12-10,345,2017,35.5
2016-12-11,346,2017,42.84594594594595
2016-12-12,347,2017,26.335416666666667
2016-12-13,348,2017,18.585416666666667
2016-12-14,349,2017,30.070833333333333
2016-12-15,350,2017,55.85
