Date,TNC LS Host / WTemp - degrees C
6/29/17 11:15,14.61667
6/29/17 11:30,14.82691
6/29/17 11:45,15.03584
6/29/17 12:00,15.25699
6/29/17 12:15,15.46553
6/29/17 12:30,15.69899
6/29/17 12:45,15.92459
6/29/17 13:00,16.14911
6/29/17 13:15,16.37334
6/29/17 13:30,16.57265
6/29/17 13:45,16.765
6/29/17 14:00,16.94833
6/29/17 14:15,17.12493
6/29/17 14:30,17.30398
6/29/17 14:45,17.45841
6/29/17 15:00,17.59986
6/29/17 15:15,17.73166
6/29/17 15:30,17.87137
6/29/17 15:45,17.97546
6/29/17 16:00,18.07956
6/29/17 16:15,18.15778
6/29/17 16:30,18.23611
6/29/17 16:45,18.29076
6/29/17 17:00,18.31797
6/29/17 17:15,18.34078
6/29/17 17:30,18.34237
6/29/17 17:45,18.29535
6/29/17 18:00,18.26538
6/29/17 18:15,18.21527
6/29/17 18:30,18.14072
6/29/17 18:45,18.0329
6/29/17 19:00,17.91141
6/29/17 19:15,17.79719
6/29/17 19:30,17.65899
6/29/17 19:45,17.51602
6/29/17 20:00,17.3757
6/29/17 20:15,17.24731
6/29/17 20:30,17.1192
6/29/17 20:45,16.96822
6/29/17 21:00,16.83844
6/29/17 21:15,16.73524
6/29/17 21:30,16.6098
6/29/17 21:45,16.50848
6/29/17 22:00,16.40251
6/29/17 22:15,16.3064
6/29/17 22:30,16.19242
6/29/17 22:45,16.10626
6/29/17 23:00,16.03398
6/29/17 23:15,15.93979
6/29/17 23:30,15.85539
6/29/17 23:45,15.77292
6/30/17 0:00,15.6974
6/30/17 0:15,15.60659
6/30/17 0:30,15.524
6/30/17 0:45,15.45024
6/30/17 1:00,15.37531
6/30/17 1:15,15.31375
6/30/17 1:30,15.25154
6/30/17 1:45,15.17935
6/30/17 2:00,15.12708
6/30/17 2:15,15.07156
6/30/17 2:30,14.98873
6/30/17 2:45,14.9274
6/30/17 3:00,14.8649
6/30/17 3:15,14.81597
6/30/17 3:30,14.7691
6/30/17 3:45,14.71725
6/30/17 4:00,14.64906
6/30/17 4:15,14.60076
6/30/17 4:30,14.52747
6/30/17 4:45,14.46767
6/30/17 5:00,14.40875
6/30/17 5:15,14.33608
6/30/17 5:30,14.2627
6/30/17 5:45,14.21396
6/30/17 6:00,14.14093
6/30/17 6:15,14.06614
6/30/17 6:30,13.97285
6/30/17 6:45,13.92048
6/30/17 7:00,13.87381
6/30/17 7:15,13.84958
6/30/17 7:30,13.82538
6/30/17 7:45,13.82538
6/30/17 8:00,13.82618
6/30/17 8:15,13.85968
6/30/17 8:30,13.89804
6/30/17 8:45,13.94656
6/30/17 9:00,13.99694
6/30/17 9:15,14.09106
6/30/17 9:30,14.17161
6/30/17 9:45,14.29468
6/30/17 10:00,14.42524
6/30/17 10:15,14.58277
6/30/17 10:30,14.74526
6/30/17 10:45,14.93725
6/30/17 11:00,15.15811
6/30/17 11:15,15.3814
6/30/17 11:30,15.61804
6/30/17 11:45,15.84144
6/30/17 12:00,16.07734
6/30/17 12:15,16.30196
6/30/17 12:30,16.52949
6/30/17 12:45,16.75532
6/30/17 13:00,16.98491
6/30/17 13:15,17.21088
6/30/17 13:30,17.39061
6/30/17 13:45,17.59692
6/30/17 14:00,17.78804
6/30/17 14:15,17.96753
6/30/17 14:30,18.13264
6/30/17 14:45,18.28839
6/30/17 15:00,18.42006
6/30/17 15:15,18.54668
6/30/17 15:30,18.65545
6/30/17 15:45,18.78781
6/30/17 16:00,18.8671
6/30/17 16:15,18.9472
6/30/17 16:30,19.02656
6/30/17 16:45,19.06563
