#,Date,Time,"DO conc, mg/L","Temp, °C"
1,11/15/2019,15:00,11.47,9.36
2,11/15/2019,15:30,11.37,9.46
3,11/15/2019,16:00,11.39,9.58
4,11/15/2019,16:30,11.49,9.7
5,11/15/2019,17:00,11.55,9.8
6,11/15/2019,17:30,11.51,9.88
7,11/15/2019,18:00,11.52,9.96
8,11/15/2019,18:30,11.51,10.02
9,11/15/2019,19:00,11.42,10.08
10,11/15/2019,19:30,11.19,10.08
11,11/15/2019,20:00,10.95,10.06
12,11/15/2019,20:30,10.62,10
13,11/15/2019,21:00,10.27,9.92
14,11/15/2019,21:30,9.86,9.78
15,11/15/2019,22:00,9.62,9.66
16,11/15/2019,22:30,9.4,9.5
17,11/15/2019,23:00,9.06,9.3
18,11/15/2019,23:30,8.87,9.1
19,11/16/2019,0:00,8.62,8.9
20,11/16/2019,0:30,8.44,8.7
21,11/16/2019,1:00,8.3,8.5
22,11/16/2019,1:30,8.19,8.3
23,11/16/2019,2:00,8.16,8.08
24,11/16/2019,2:30,8.06,7.88
25,11/16/2019,3:00,8.01,7.68
26,11/16/2019,3:30,7.99,7.5
27,11/16/2019,4:00,7.96,7.32
28,11/16/2019,4:30,7.94,7.14
29,11/16/2019,5:00,7.96,6.94
30,11/16/2019,5:30,7.94,6.78
31,11/16/2019,6:00,7.94,6.6
32,11/16/2019,6:30,7.94,6.44
33,11/16/2019,7:00,7.95,6.28
34,11/16/2019,7:30,7.98,6.16
35,11/16/2019,8:00,7.97,6.02
36,11/16/2019,8:30,7.97,5.92
37,11/16/2019,9:00,7.99,5.84
38,11/16/2019,9:30,7.99,5.8
39,11/16/2019,10:00,8,5.78
40,11/16/2019,10:30,8.03,5.8
41,11/16/2019,11:00,8.29,5.86
42,11/16/2019,11:30,8.92,6
43,11/16/2019,12:00,9.13,6.2
44,11/16/2019,12:30,9.27,6.48
45,11/16/2019,13:00,9.56,6.74
46,11/16/2019,13:30,9.97,7
47,11/16/2019,14:00,10.33,7.32
48,11/16/2019,14:30,10.64,7.58
49,11/16/2019,15:00,10.83,7.82
50,11/16/2019,15:30,11.2,8.02
51,11/16/2019,16:00,11.52,8.16
52,11/16/2019,16:30,11.69,8.3
53,11/16/2019,17:00,11.73,8.42
54,11/16/2019,17:30,11.8,8.52
55,11/16/2019,18:00,11.78,8.58
56,11/16/2019,18:30,11.64,8.62
57,11/16/2019,19:00,11.49,8.64
58,11/16/2019,19:30,11.26,8.6
59,11/16/2019,20:00,11.05,8.56
60,11/16/2019,20:30,10.79,8.48
61,11/16/2019,21:00,10.56,8.4
62,11/16/2019,21:30,10.31,8.28
63,11/16/2019,22:00,10.07,8.14
64,11/16/2019,22:30,9.84,7.98
65,11/16/2019,23:00,9.62,7.8
66,11/16/2019,23:30,9.44,7.64
67,11/17/2019,0:00,9.31,7.46
68,11/17/2019,0:30,9.13,7.28
69,11/17/2019,1:00,9.04,7.1
70,11/17/2019,1:30,8.91,6.94
71,11/17/2019,2:00,8.84,6.78
72,11/17/2019,2:30,8.79,6.62
73,11/17/2019,3:00,8.73,6.44
74,11/17/2019,3:30,8.71,6.28
75,11/17/2019,4:00,8.68,6.14
76,11/17/2019,4:30,8.67,6
77,11/17/2019,5:00,8.65,5.86
78,11/17/2019,5:30,8.65,5.72
79,11/17/2019,6:00,8.65,5.6
80,11/17/2019,6:30,8.65,5.46
81,11/17/2019,7:00,8.65,5.34
82,11/17/2019,7:30,8.66,5.24
83,11/17/2019,8:00,8.65,5.14
84,11/17/2019,8:30,8.65,5.04
85,11/17/2019,9:00,8.66,4.96
86,11/17/2019,9:30,8.65,4.9
87,11/17/2019,10:00,8.66,4.86
88,11/17/2019,10:30,8.73,4.92
89,11/17/2019,11:00,8.84,5.1
90,11/17/2019,11:30,9.05,5.26
91,11/17/2019,12:00,9.45,5.46
92,11/17/2019,12:30,9.7,5.74
93,11/17/2019,13:00,9.88,6.02
94,11/17/2019,13:30,9.99,6.34
95,11/17/2019,14:00,10.26,6.64
96,11/17/2019,14:30,10.52,6.98
97,11/17/2019,15:00,10.83,7.24
98,11/17/2019,15:30,11.19,7.42
99,11/17/2019,16:00,11.46,7.56
100,11/17/2019,16:30,11.58,7.7
101,11/17/2019,17:00,11.8,7.82
102,11/17/2019,17:30,11.83,7.94
103,11/17/2019,18:00,11.83,8.04
104,11/17/2019,18:30,11.77,8.1
