,DateTime
1,2/21/2020 15:30
2,2/21/2020 16:00
3,2/21/2020 16:30
4,2/21/2020 17:00
5,2/21/2020 17:30
6,2/21/2020 18:00
7,2/21/2020 18:30
8,2/21/2020 19:00
9,2/21/2020 19:30
10,2/21/2020 20:00
11,2/21/2020 20:30
12,2/21/2020 21:00
13,2/21/2020 21:30
14,2/21/2020 22:00
15,2/21/2020 22:30
16,2/21/2020 23:00
17,2/21/2020 23:30
18,2/22/2020 0:00
19,2/22/2020 0:30
20,2/22/2020 1:00
21,2/22/2020 1:30
22,2/22/2020 2:00
23,2/22/2020 2:30
24,2/22/2020 3:00
25,2/22/2020 3:30
26,2/22/2020 4:00
27,2/22/2020 4:30
28,2/22/2020 5:00
29,2/22/2020 5:30
30,2/22/2020 6:00
31,2/22/2020 6:30
32,2/22/2020 7:00
33,2/22/2020 7:30
34,2/22/2020 8:00
35,2/22/2020 8:30
36,2/22/2020 9:00
37,2/22/2020 9:30
38,2/22/2020 10:00
39,2/22/2020 10:30
40,2/22/2020 11:00
41,2/22/2020 11:30
42,2/22/2020 12:00
43,2/22/2020 12:30
44,2/22/2020 13:00
45,2/22/2020 13:30
46,2/22/2020 14:00
47,2/22/2020 14:30
48,2/22/2020 15:00
49,2/22/2020 15:30
50,2/22/2020 16:00
51,2/22/2020 16:30
52,2/22/2020 17:00
53,2/22/2020 17:30
54,2/22/2020 18:00
55,2/22/2020 18:30
56,2/22/2020 19:00
57,2/22/2020 19:30
58,2/22/2020 20:00
59,2/22/2020 20:30
60,2/22/2020 21:00
61,2/22/2020 21:30
62,2/22/2020 22:00
63,2/22/2020 22:30
64,2/22/2020 23:00
65,2/22/2020 23:30
66,2/23/2020 0:00
67,2/23/2020 0:30
68,2/23/2020 1:00
69,2/23/2020 1:30
70,2/23/2020 2:00
71,2/23/2020 2:30
72,2/23/2020 3:00
73,2/23/2020 3:30
74,2/23/2020 4:00
75,2/23/2020 4:30
76,2/23/2020 5:00
77,2/23/2020 5:30
78,2/23/2020 6:00
79,2/23/2020 6:30
80,2/23/2020 7:00
81,2/23/2020 7:30
82,2/23/2020 8:00
83,2/23/2020 8:30
84,2/23/2020 9:00
85,2/23/2020 9:30
86,2/23/2020 10:00
87,2/23/2020 10:30
88,2/23/2020 11:00
89,2/23/2020 11:30
90,2/23/2020 12:00
91,2/23/2020 12:30
92,2/23/2020 13:00
93,2/23/2020 13:30
94,2/23/2020 14:00
95,2/23/2020 14:30
96,2/23/2020 15:00
97,2/23/2020 15:30
98,2/23/2020 16:00
99,2/23/2020 16:30
100,2/23/2020 17:00
101,2/23/2020 17:00
102,2/23/2020 17:00
103,2/23/2020 18:00
104,2/23/2020 18:00
105,2/23/2020 19:00
106,2/23/2020 19:00
107,2/23/2020 20:00
108,2/23/2020 20:00
109,2/23/2020 21:00
110,2/23/2020 21:00
111,2/23/2020 22:00
112,2/23/2020 22:00
113,2/23/2020 23:00
114,2/23/2020 23:00
115,2/24/2020 0:00
116,2/24/2020 0:00
117,2/24/2020 1:00
118,2/24/2020 1:00
119,2/24/2020 2:00
120,2/24/2020 2:00
121,2/24/2020 3:00
122,2/24/2020 3:00
123,2/24/2020 4:00
124,2/24/2020 4:00
125,2/24/2020 5:00
126,2/24/2020 5:00
127,2/24/2020 6:00
128,2/24/2020 6:00
129,2/24/2020 7:00
130,2/24/2020 7:00
131,2/24/2020 8:00
132,2/24/2020 8:00
133,2/24/2020 9:00
134,2/24/2020 9:00
135,2/24/2020 10:00
136,2/24/2020 10:00
137,2/24/2020 11:00
138,2/24/2020 11:00
139,2/24/2020 12:00
140,2/24/2020 12:00
141,2/24/2020 13:00
142,2/24/2020 13:00
143,2/24/2020 14:00
144,2/24/2020 14:00
145,2/24/2020 15:00
146,2/24/2020 15:00
147,2/24/2020 16:00
148,2/24/2020 16:00
149,2/24/2020 17:00
150,2/24/2020 17:00
151,2/24/2020 18:00
152,2/24/2020 18:00
153,2/24/2020 19:00
154,2/24/2020 19:00
155,2/24/2020 20:00
156,2/24/2020 20:00
157,2/24/2020 21:00
158,2/24/2020 21:00
159,2/24/2020 22:00
160,2/24/2020 22:00
161,2/24/2020 23:00
162,2/24/2020 23:00
163,2/25/2020 0:00
164,2/25/2020 0:00
165,2/25/2020 1:00
166,2/25/2020 1:00
167,2/25/2020 2:00
168,2/25/2020 2:00
169,2/25/2020 3:00
170,2/25/2020 3:00
171,2/25/2020 4:00
172,2/25/2020 4:00
173,2/25/2020 5:00
174,2/25/2020 5:00
175,2/25/2020 6:00
176,2/25/2020 6:00
177,2/25/2020 7:00
178,2/25/2020 7:00
179,2/25/2020 8:00
180,2/25/2020 8:00
181,2/25/2020 9:00
182,2/25/2020 9:00
183,2/25/2020 10:00
184,2/25/2020 10:00
185,2/25/2020 11:00
186,2/25/2020 11:00
187,2/25/2020 12:00
188,2/25/2020 12:00
189,2/25/2020 13:00
190,2/25/2020 13:00
191,2/25/2020 14:00
192,2/25/2020 14:00
193,2/25/2020 15:00
194,2/25/2020 15:00
195,2/25/2020 16:00
196,2/25/2020 16:00
197,2/25/2020 17:00
198,2/25/2020 17:00
199,2/25/2020 18:00
200,2/25/2020 18:00
201,2/25/2020 19:00
202,2/25/2020 19:00
203,2/25/2020 20:00
204,2/25/2020 20:00
205,2/25/2020 21:00
206,2/25/2020 21:00
207,2/25/2020 22:00
208,2/25/2020 22:00
209,2/25/2020 23:00
210,2/25/2020 23:00
211,2/26/2020 0:00
212,2/26/2020 0:00
213,2/26/2020 1:00
214,2/26/2020 1:00
215,2/26/2020 2:00
216,2/26/2020 2:00
217,2/26/2020 3:00
218,2/26/2020 3:00
219,2/26/2020 4:00
220,2/26/2020 4:00
221,2/26/2020 5:00
222,2/26/2020 5:00
