Serial_number:,,,,
2057620,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL(m),TEMPERATURE
1/23/2020,12:30:00 PM,0,1.0438,3.521
1/23/2020,1:00:00 PM,0,1.0352,3.584
1/23/2020,1:30:00 PM,0,1.0253,3.675
1/23/2020,2:00:00 PM,0,1.0182,3.852
1/23/2020,2:30:00 PM,0,1.0099,3.992
1/23/2020,3:00:00 PM,0,1.0037,4.104
1/23/2020,3:30:00 PM,0,0.9967,4.184
1/23/2020,4:00:00 PM,0,0.9983,4.203
1/23/2020,4:30:00 PM,0,1.0006,4.207
1/23/2020,5:00:00 PM,0,0.9958,4.209
1/23/2020,5:30:00 PM,0,0.9937,4.22
1/23/2020,6:00:00 PM,0,1.0032,4.859
1/23/2020,6:30:00 PM,0,1.001,4.241
1/23/2020,7:00:00 PM,0,0.998,4.215
1/23/2020,7:30:00 PM,0,0.9944,4.195
1/23/2020,8:00:00 PM,0,0.99,4.17
1/23/2020,8:30:00 PM,0,0.986,4.149
1/23/2020,9:00:00 PM,0,0.9781,4.129
1/23/2020,9:30:00 PM,0,0.9824,4.109
1/23/2020,10:00:00 PM,0,0.9835,4.088
1/23/2020,10:30:00 PM,0,0.9743,4.072
1/23/2020,11:00:00 PM,0,0.9739,4.054
1/23/2020,11:30:00 PM,0,0.9752,4.043
1/24/2020,12:00:00 AM,0,0.9666,4.047
1/24/2020,12:30:00 AM,0,0.9681,4.049
1/24/2020,1:00:00 AM,0,0.98,4.059
1/24/2020,1:30:00 AM,0,0.9859,4.095
1/24/2020,2:00:00 AM,0,0.9923,4.135
1/24/2020,2:30:00 AM,0,0.9992,4.16
1/24/2020,3:00:00 AM,0,1.0005,4.18
1/24/2020,3:30:00 AM,0,1.0066,4.209
1/24/2020,4:00:00 AM,0,1.0148,4.25
1/24/2020,4:30:00 AM,0,1.0218,4.329
1/24/2020,5:00:00 AM,0,1.026,4.403
1/24/2020,5:30:00 AM,0,1.0291,4.468
1/24/2020,6:00:00 AM,0,1.0368,4.513
1/24/2020,6:30:00 AM,0,1.0437,4.585
1/24/2020,7:00:00 AM,0,1.0463,4.654
1/24/2020,7:30:00 AM,0,1.05,4.693
1/24/2020,8:00:00 AM,0,1.0529,4.695
1/24/2020,8:30:00 AM,0,1.0563,4.71
