Serial_number:
2057620
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2020/01/23,12:30:00,0,1.0438,3.521
2020/01/23,13:00:00,0,1.0352,3.584
2020/01/23,13:30:00,0,1.0253,3.675
2020/01/23,14:00:00,0,1.0182,3.852
2020/01/23,14:30:00,0,1.0099,3.992
2020/01/23,15:00:00,0,1.0037,4.104
2020/01/23,15:30:00,0,0.9967,4.184
2020/01/23,16:00:00,0,0.9983,4.203
2020/01/23,16:30:00,0,1.0006,4.207
2020/01/23,17:00:00,0,0.9958,4.209
2020/01/23,17:30:00,0,0.9937,4.220
2020/01/23,18:00:00,0,1.0032,4.859
2020/01/23,18:30:00,0,1.0010,4.241
2020/01/23,19:00:00,0,0.9980,4.215
2020/01/23,19:30:00,0,0.9944,4.195
2020/01/23,20:00:00,0,0.9900,4.170
2020/01/23,20:30:00,0,0.9860,4.149
2020/01/23,21:00:00,0,0.9781,4.129
2020/01/23,21:30:00,0,0.9824,4.109
2020/01/23,22:00:00,0,0.9835,4.088
2020/01/23,22:30:00,0,0.9743,4.072
2020/01/23,23:00:00,0,0.9739,4.054
2020/01/23,23:30:00,0,0.9752,4.043
2020/01/24,00:00:00,0,0.9666,4.047
2020/01/24,00:30:00,0,0.9681,4.049
2020/01/24,01:00:00,0,0.9800,4.059
2020/01/24,01:30:00,0,0.9859,4.095
2020/01/24,02:00:00,0,0.9923,4.135
2020/01/24,02:30:00,0,0.9992,4.160
2020/01/24,03:00:00,0,1.0005,4.180
2020/01/24,03:30:00,0,1.0066,4.209
2020/01/24,04:00:00,0,1.0148,4.250
2020/01/24,04:30:00,0,1.0218,4.329
2020/01/24,05:00:00,0,1.0260,4.403
2020/01/24,05:30:00,0,1.0291,4.468
2020/01/24,06:00:00,0,1.0368,4.513
2020/01/24,06:30:00,0,1.0437,4.585
2020/01/24,07:00:00,0,1.0463,4.654
2020/01/24,07:30:00,0,1.0500,4.693
2020/01/24,08:00:00,0,1.0529,4.695
2020/01/24,08:30:00,0,1.0563,4.710
2020/01/24,09:00:00,0,1.0643,4.719
2020/01/24,09:30:00,0,1.0727,4.719
