#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20697570, SEN S/N: 20697570)","Temp, °C","Batt, V (LGR S/N: 20697570, SEN S/N: 20697570)"
1,11/15/2019 15:00,11.47,9.36,3.56
2,11/15/2019 15:30,11.37,9.46,3.54
3,11/15/2019 16:00,11.39,9.58,3.56
4,11/15/2019 16:30,11.49,9.7,3.56
5,11/15/2019 17:00,11.55,9.8,3.56
6,11/15/2019 17:30,11.51,9.88,3.56
7,11/15/2019 18:00,11.52,9.96,3.56
8,11/15/2019 18:30,11.51,10.02,3.56
9,11/15/2019 19:00,11.42,10.08,3.56
10,11/15/2019 19:30,11.19,10.08,3.56
11,11/15/2019 20:00,10.95,10.06,3.56
12,11/15/2019 20:30,10.62,10,3.56
13,11/15/2019 21:00,10.27,9.92,3.56
14,11/15/2019 21:30,9.86,9.78,3.56
15,11/15/2019 22:00,9.62,9.66,3.56
16,11/15/2019 22:30,9.4,9.5,3.56
17,11/15/2019 23:00,9.06,9.3,3.56
18,11/15/2019 23:30,8.87,9.1,3.56
19,11/16/2019 0:00,8.62,8.9,3.56
20,11/16/2019 0:30,8.44,8.7,3.56
21,11/16/2019 1:00,8.3,8.5,3.56
22,11/16/2019 1:30,8.19,8.3,3.56
23,11/16/2019 2:00,8.16,8.08,3.54
24,11/16/2019 2:30,8.06,7.88,3.54
25,11/16/2019 3:00,8.01,7.68,3.54
26,11/16/2019 3:30,7.99,7.5,3.54
27,11/16/2019 4:00,7.96,7.32,3.54
28,11/16/2019 4:30,7.94,7.14,3.54
29,11/16/2019 5:00,7.96,6.94,3.54
30,11/16/2019 5:30,7.94,6.78,3.54
31,11/16/2019 6:00,7.94,6.6,3.54
32,11/16/2019 6:30,7.94,6.44,3.54
33,11/16/2019 7:00,7.95,6.28,3.54
34,11/16/2019 7:30,7.98,6.16,3.54
35,11/16/2019 8:00,7.97,6.02,3.54
36,11/16/2019 8:30,7.97,5.92,3.54
37,11/16/2019 9:00,7.99,5.84,3.54
38,11/16/2019 9:30,7.99,5.8,3.54
39,11/16/2019 10:00,8,5.78,3.53
40,11/16/2019 10:30,8.03,5.8,3.53
41,11/16/2019 11:00,8.29,5.86,3.54
42,11/16/2019 11:30,8.92,6,3.53
43,11/16/2019 12:00,9.13,6.2,3.54
44,11/16/2019 12:30,9.27,6.48,3.54
45,11/16/2019 13:00,9.56,6.74,3.54
46,11/16/2019 13:30,9.97,7,3.54
47,11/16/2019 14:00,10.33,7.32,3.54
48,11/16/2019 14:30,10.64,7.58,3.54
49,11/16/2019 15:00,10.83,7.82,3.54
