Obs_TimeOut,Obs_Twout,Base_TimeOut,Base_TWout,HC_TimeOut,HC_TWout,HR_TimeOut,HR_TWout,PipeA_TimeOut,PipeA_TWout,PipeB_TimeOut,PipeB_TWout,Null_TimeOut,Null_TWout
8/16/20 9:22,16.3,8/16/20 10:01,15.9,8/16/20 10:11,14,8/16/20 9:31,13.8,8/16/20 9:00,13.8,8/16/20 10:11,13.8,8/16/20 9:00,15.3
8/16/20 10:22,16.5,8/16/20 11:01,16.9,8/16/20 11:11,15.1,8/16/20 10:31,14.6,8/16/20 10:00,14.3,8/16/20 11:11,14.7,8/16/20 10:00,15.7
8/16/20 11:22,16.6,8/16/20 12:01,18,8/16/20 12:11,16.4,8/16/20 11:31,15.5,8/16/20 11:00,15.2,8/16/20 12:11,15.6,8/16/20 11:00,16.5
8/16/20 12:22,16.6,8/16/20 13:01,19,8/16/20 13:11,17.6,8/16/20 12:31,16.8,8/16/20 12:00,16.1,8/16/20 13:11,16.4,8/16/20 12:00,17.4
8/16/20 13:22,16.8,8/16/20 14:01,19.8,8/16/20 14:11,18.7,8/16/20 13:31,17.8,8/16/20 13:00,16.9,8/16/20 14:11,17.1,8/16/20 13:00,18.2
8/16/20 14:22,17.4,8/16/20 15:01,20.3,8/16/20 15:11,19.4,8/16/20 14:31,18.2,8/16/20 14:00,17.7,8/16/20 15:11,17.5,8/16/20 14:00,18.9
8/16/20 15:22,18.1,8/16/20 16:01,20.4,8/16/20 16:11,19.7,8/16/20 15:31,18.5,8/16/20 15:00,18.2,8/16/20 16:11,17.5,8/16/20 15:00,19.3
8/16/20 16:22,18.6,8/16/20 17:01,20,8/16/20 17:11,19.6,8/16/20 16:31,18.9,8/16/20 16:00,18.3,8/16/20 17:11,17.2,8/16/20 16:00,19.4
8/16/20 17:22,18.9,8/16/20 18:01,19.5,8/16/20 18:11,19,8/16/20 17:31,19.3,8/16/20 17:00,18.1,8/16/20 18:11,16.8,8/16/20 17:00,19.2
8/16/20 18:22,18.9,8/16/20 19:01,18.8,8/16/20 19:11,18.2,8/16/20 18:31,18.8,8/16/20 18:00,17.6,8/16/20 19:11,16.2,8/16/20 18:00,18.7
8/16/20 19:22,18.5,8/16/20 20:01,18.1,8/16/20 20:11,17.1,8/16/20 19:31,17.6,8/16/20 19:00,17,8/16/20 20:11,15.5,8/16/20 19:00,18.1
8/16/20 20:22,18.1,8/16/20 21:01,17.4,8/16/20 21:11,16.2,8/16/20 20:31,16.4,8/16/20 20:00,16.3,8/16/20 21:11,14.9,8/16/20 20:00,17.4
8/16/20 21:22,17.8,8/16/20 22:01,16.8,8/16/20 22:11,15.4,8/16/20 21:31,15.6,8/16/20 21:00,15.7,8/16/20 22:11,14.4,8/16/20 21:00,16.8
8/16/20 22:22,17.7,8/16/20 23:01,16.3,8/16/20 23:11,14.7,8/16/20 22:31,15.1,8/16/20 22:00,15.2,8/16/20 23:11,14,8/16/20 22:00,16.4
8/16/20 23:22,17.5,8/17/20 0:01,16,8/17/20 0:11,14.2,8/16/20 23:31,14.7,8/16/20 23:00,14.9,8/17/20 0:11,13.7,8/16/20 23:00,16.2
8/17/20 0:22,17.4,8/17/20 1:01,15.8,8/17/20 1:11,14,8/17/20 0:31,14.5,8/17/20 0:00,14.7,8/17/20 1:11,13.6,8/17/20 0:00,16.1
8/17/20 1:22,17.2,8/17/20 2:01,15.8,8/17/20 2:11,14,8/17/20 1:31,14.4,8/17/20 1:00,14.6,8/17/20 2:11,13.5,8/17/20 1:00,16.2
8/17/20 2:22,17,8/17/20 3:01,15.8,8/17/20 3:11,13.9,8/17/20 2:31,14.3,8/17/20 2:00,14.5,8/17/20 3:11,13.5,8/17/20 2:00,16.2
8/17/20 3:22,16.7,8/17/20 4:01,15.7,8/17/20 4:11,13.8,8/17/20 3:31,14.2,8/17/20 3:00,14.4,8/17/20 4:11,13.4,8/17/20 3:00,16.1
8/17/20 4:22,16.4,8/17/20 5:01,15.4,8/17/20 5:11,13.6,8/17/20 4:31,14,8/17/20 4:00,14.2,8/17/20 5:11,13.2,8/17/20 4:00,15.9
