Date,Time,ms,LEVEL,TEMPERATURE
10/16/2024,10:15:00 AM,0,9.4211,8.623
10/16/2024,10:30:00 AM,0,9.421,8.516
10/16/2024,10:45:00 AM,0,9.4221,8.494
10/16/2024,11:00:00 AM,0,9.4215,8.506
10/16/2024,11:15:00 AM,0,9.4202,8.506
10/16/2024,11:30:00 AM,0,9.4206,8.531
10/16/2024,11:45:00 AM,0,9.4206,8.573
10/16/2024,12:00:00 PM,0,9.4206,8.605
10/16/2024,12:15:00 PM,0,9.4214,8.588
10/16/2024,12:30:00 PM,0,9.4201,8.551
10/16/2024,12:45:00 PM,0,9.4205,8.523
10/16/2024,1:00:00 PM,0,9.4196,8.49
10/16/2024,1:15:00 PM,0,9.4209,8.509
10/16/2024,1:30:00 PM,0,9.4205,8.585
10/16/2024,1:45:00 PM,0,9.4228,8.742
10/16/2024,2:00:00 PM,0,9.4223,8.785
10/16/2024,2:15:00 PM,0,9.4219,8.776
10/16/2024,2:30:00 PM,0,9.4218,8.711
10/16/2024,2:45:00 PM,0,9.4218,8.661
10/16/2024,3:00:00 PM,0,9.4207,8.651
10/16/2024,3:15:00 PM,0,9.4199,8.647
10/16/2024,3:30:00 PM,0,9.4201,8.638
10/16/2024,3:45:00 PM,0,9.4191,8.614
10/16/2024,4:00:00 PM,0,9.4185,8.599
10/16/2024,4:15:00 PM,0,9.4175,8.6
10/16/2024,4:30:00 PM,0,9.4186,8.589
10/16/2024,4:45:00 PM,0,9.4181,8.579
10/16/2024,5:00:00 PM,0,9.4188,8.562
10/16/2024,5:15:00 PM,0,9.4197,8.546
10/16/2024,5:30:00 PM,0,9.4193,8.524
10/16/2024,5:45:00 PM,0,9.419,8.498
10/16/2024,6:00:00 PM,0,9.4182,8.467
10/16/2024,6:15:00 PM,0,9.4143,8.444
10/16/2024,6:30:00 PM,0,9.4133,8.413
10/16/2024,6:45:00 PM,0,9.4129,8.378
10/16/2024,7:00:00 PM,0,9.4128,8.345
10/16/2024,7:15:00 PM,0,9.4121,8.319
10/16/2024,7:30:00 PM,0,9.4127,8.294
10/16/2024,7:45:00 PM,0,9.4129,8.278
10/16/2024,8:00:00 PM,0,9.4139,8.27
10/16/2024,8:15:00 PM,0,9.4146,8.272
10/16/2024,8:30:00 PM,0,9.4158,8.279
10/16/2024,8:45:00 PM,0,9.4151,8.293
10/16/2024,9:00:00 PM,0,9.4149,8.302
10/16/2024,9:15:00 PM,0,9.4146,8.3
10/16/2024,9:30:00 PM,0,9.4149,8.301
