Date,Time,ms,LEVEL,TEMPERATURE
8/29/2024,1:30:00 PM,0,9.4257,9.894
8/29/2024,1:45:00 PM,0,9.4244,9.789
8/29/2024,2:00:00 PM,0,9.4244,9.783
8/29/2024,2:15:00 PM,0,9.4238,9.78
8/29/2024,2:30:00 PM,0,9.4219,9.759
8/29/2024,2:45:00 PM,0,9.4208,9.736
8/29/2024,3:00:00 PM,0,9.4201,9.709
8/29/2024,3:15:00 PM,0,9.4192,9.684
8/29/2024,3:30:00 PM,0,9.4177,9.642
8/29/2024,3:45:00 PM,0,9.4166,9.62
8/29/2024,4:00:00 PM,0,9.4155,9.599
8/29/2024,4:15:00 PM,0,9.4145,9.575
8/29/2024,4:30:00 PM,0,9.4139,9.548
8/29/2024,4:45:00 PM,0,9.4123,9.499
8/29/2024,5:00:00 PM,0,9.4109,9.447
8/29/2024,5:15:00 PM,0,9.4097,9.39
8/29/2024,5:30:00 PM,0,9.4082,9.344
8/29/2024,5:45:00 PM,0,9.4077,9.289
8/29/2024,6:00:00 PM,0,9.4065,9.239
8/29/2024,6:15:00 PM,0,9.4054,9.193
8/29/2024,6:30:00 PM,0,9.4045,9.154
8/29/2024,6:45:00 PM,0,9.4043,9.116
8/29/2024,7:00:00 PM,0,9.4033,9.085
8/29/2024,7:15:00 PM,0,9.4024,9.057
8/29/2024,7:30:00 PM,0,9.4025,9.025
8/29/2024,7:45:00 PM,0,9.4029,9
8/29/2024,8:00:00 PM,0,9.4038,8.978
8/29/2024,8:15:00 PM,0,9.4046,8.959
8/29/2024,8:30:00 PM,0,9.4062,8.941
8/29/2024,8:45:00 PM,0,9.4073,8.925
8/29/2024,9:00:00 PM,0,9.4083,8.909
8/29/2024,9:15:00 PM,0,9.4092,8.895
8/29/2024,9:30:00 PM,0,9.4102,8.889
8/29/2024,9:45:00 PM,0,9.4119,8.879
8/29/2024,10:00:00 PM,0,9.4128,8.873
8/29/2024,10:15:00 PM,0,9.4127,8.87
8/29/2024,10:30:00 PM,0,9.4134,8.866
8/29/2024,10:45:00 PM,0,9.4136,8.859
8/29/2024,11:00:00 PM,0,9.4141,8.853
8/29/2024,11:15:00 PM,0,9.4142,8.845
8/29/2024,11:30:00 PM,0,9.4153,8.836
8/29/2024,11:45:00 PM,0,9.4168,8.832
8/30/2024,12:00:00 AM,0,9.4177,8.824
8/30/2024,12:15:00 AM,0,9.418,8.818
8/30/2024,12:30:00 AM,0,9.4196,8.811
8/30/2024,12:45:00 AM,0,9.4201,8.809
8/30/2024,1:00:00 AM,0,9.4201,8.805
8/30/2024,1:15:00 AM,0,9.4196,8.804
8/30/2024,1:30:00 AM,0,9.4198,8.799
8/30/2024,1:45:00 AM,0,9.4195,8.792
8/30/2024,2:00:00 AM,0,9.4194,8.785
8/30/2024,2:15:00 AM,0,9.42,8.779
8/30/2024,2:30:00 AM,0,9.4202,8.776
8/30/2024,2:45:00 AM,0,9.4213,8.769
8/30/2024,3:00:00 AM,0,9.4216,8.762
8/30/2024,3:15:00 AM,0,9.4224,8.754
8/30/2024,3:30:00 AM,0,9.4218,8.751
8/30/2024,3:45:00 AM,0,9.4223,8.747
8/30/2024,4:00:00 AM,0,9.4225,8.742
8/30/2024,4:15:00 AM,0,9.4235,8.738
8/30/2024,4:30:00 AM,0,9.4242,8.733
8/30/2024,4:45:00 AM,0,9.4244,8.729
8/30/2024,5:00:00 AM,0,9.4248,8.723
8/30/2024,5:15:00 AM,0,9.4247,8.722
8/30/2024,5:30:00 AM,0,9.4263,8.721
8/30/2024,5:45:00 AM,0,9.4275,8.718
8/30/2024,6:00:00 AM,0,9.4279,8.715
8/30/2024,6:15:00 AM,0,9.4302,8.713
8/30/2024,6:30:00 AM,0,9.4327,8.709
8/30/2024,6:45:00 AM,0,9.4333,8.704
8/30/2024,7:00:00 AM,0,9.4339,8.701
8/30/2024,7:15:00 AM,0,9.4354,8.705
8/30/2024,7:30:00 AM,0,9.437,8.713
8/30/2024,7:45:00 AM,0,9.4377,8.728
8/30/2024,8:00:00 AM,0,9.4386,8.758
8/30/2024,8:15:00 AM,0,9.4399,8.79
8/30/2024,8:30:00 AM,0,9.4405,8.826
8/30/2024,8:45:00 AM,0,9.4409,8.863
8/30/2024,9:00:00 AM,0,9.4413,8.903
8/30/2024,9:15:00 AM,0,9.4418,8.939
8/30/2024,9:30:00 AM,0,9.4422,8.981
8/30/2024,9:45:00 AM,0,9.4432,9.026
8/30/2024,10:00:00 AM,0,9.4442,9.081
8/30/2024,10:15:00 AM,0,9.4454,9.138
8/30/2024,10:30:00 AM,0,9.4463,9.201
8/30/2024,10:45:00 AM,0,9.4468,9.254
8/30/2024,11:00:00 AM,0,9.4473,9.321
8/30/2024,11:15:00 AM,0,9.4476,9.379
8/30/2024,11:30:00 AM,0,9.4472,9.434
8/30/2024,11:45:00 AM,0,9.4471,9.488
8/30/2024,12:00:00 PM,0,9.4467,9.536
8/30/2024,12:15:00 PM,0,9.4461,9.573
8/30/2024,12:30:00 PM,0,9.4449,9.597
8/30/2024,12:45:00 PM,0,9.444,9.64
8/30/2024,1:00:00 PM,0,9.4438,9.691
8/30/2024,1:15:00 PM,0,9.443,9.742
8/30/2024,1:30:00 PM,0,9.4423,9.771
8/30/2024,1:45:00 PM,0,9.4408,9.795
8/30/2024,2:00:00 PM,0,9.4395,9.802
8/30/2024,2:15:00 PM,0,9.4357,9.8
8/30/2024,2:30:00 PM,0,9.4332,9.775
8/30/2024,2:45:00 PM,0,9.4301,9.747
8/30/2024,3:00:00 PM,0,9.4281,9.712
8/30/2024,3:15:00 PM,0,9.4268,9.691
8/30/2024,3:30:00 PM,0,9.4257,9.673
8/30/2024,3:45:00 PM,0,9.4237,9.64
8/30/2024,4:00:00 PM,0,9.4228,9.624
8/30/2024,4:15:00 PM,0,9.4219,9.59
8/30/2024,4:30:00 PM,0,9.4196,9.547
8/30/2024,4:45:00 PM,0,9.4183,9.496
8/30/2024,5:00:00 PM,0,9.417,9.453
8/30/2024,5:15:00 PM,0,9.4158,9.402
8/30/2024,5:30:00 PM,0,9.4148,9.36
8/30/2024,5:45:00 PM,0,9.4138,9.334
8/30/2024,6:00:00 PM,0,9.4138,9.292
8/30/2024,6:15:00 PM,0,9.4134,9.264
8/30/2024,6:30:00 PM,0,9.4134,9.242
8/30/2024,6:45:00 PM,0,9.4129,9.222
8/30/2024,7:00:00 PM,0,9.4128,9.198
8/30/2024,7:15:00 PM,0,9.4121,9.159
8/30/2024,7:30:00 PM,0,9.412,9.123
8/30/2024,7:45:00 PM,0,9.4129,9.076
8/30/2024,8:00:00 PM,0,9.4144,9.048
8/30/2024,8:15:00 PM,0,9.4164,9.019
8/30/2024,8:30:00 PM,0,9.4185,9.002
8/30/2024,8:45:00 PM,0,9.4231,8.983
8/30/2024,9:00:00 PM,0,9.4236,8.966
8/30/2024,9:15:00 PM,0,9.4247,8.953
8/30/2024,9:30:00 PM,0,9.4247,8.947
8/30/2024,9:45:00 PM,0,9.4253,8.949
8/30/2024,10:00:00 PM,0,9.4257,8.933
