Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Pressure_kPa,Pressure_inHg,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
12/1/2024,12:04 AM,-4.28,-4.56,98,ESE,6.44,7.08,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:09 AM,-4.39,-4.67,98,ESE,4.83,6.92,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:13 AM,-4.33,-4.61,98,East,4.67,6.28,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:19 AM,-4.28,-4.56,98,ENE,3.22,5.79,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:24 AM,-4.28,-4.56,98,East,4.67,6.28,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:29 AM,-4.28,-4.5,98,NE,3.7,5.47,934.64,93.46,27.60,0,0,0,0
12/1/2024,12:34 AM,-4.33,-4.56,98,NE,1.93,4.83,934.64,93.46,27.60,0,0,0,0
12/1/2024,12:38 AM,-4.39,-4.61,99,East,2.74,4.18,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:44 AM,-4.33,-4.5,99,SSW,1.45,2.25,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:49 AM,-4.28,-4.39,99,SSW,1.61,3.7,934.98,93.50,27.61,0,0,0,0
12/1/2024,12:54 AM,-4.28,-4.39,99,WSW,1.45,2.74,934.64,93.46,27.60,0,0,0,0
12/1/2024,12:59 AM,-4.28,-4.39,99,SW,1.77,3.22,934.64,93.46,27.60,0,0,0,0
12/1/2024,1:04 AM,-4.28,-4.39,99,WSW,1.45,4.02,934.98,93.50,27.61,0,0,0,0
12/1/2024,1:08 AM,-4.33,-4.44,99,SW,0.97,2.9,934.98,93.50,27.61,0,0,0,0
12/1/2024,1:14 AM,-4.28,-4.39,99,NE,3.06,4.34,934.98,93.50,27.61,0,0,0,0
12/1/2024,1:19 AM,-4.28,-4.39,99,SE,3.86,6.11,934.64,93.46,27.60,0,0,0,0
12/1/2024,1:24 AM,-4.39,-4.5,99,SW,2.25,3.86,934.98,93.50,27.61,0,0,0,0
12/1/2024,1:29 AM,-4.39,-4.5,99,SSW,1.77,4.02,934.64,93.46,27.60,0,0,0,0
12/1/2024,1:34 AM,-4.39,-4.5,99,SSW,2.41,4.02,934.64,93.46,27.60,0,0,0,0
12/1/2024,1:39 AM,-4.33,-4.5,99,SW,0.8,2.74,934.64,93.46,27.60,0,0,0,0
12/1/2024,1:44 AM,-4.28,-4.39,99,SW,1.13,2.74,934.64,93.46,27.60,0,0,0,0
12/1/2024,1:49 AM,-4.28,-4.39,99,SW,2.74,4.18,934.64,93.46,27.60,0,0,0,0
12/1/2024,1:54 AM,-4.28,-4.39,99,WSW,1.13,3.06,934.98,93.50,27.61,0,0,0,0
12/1/2024,1:58 AM,-4.28,-4.39,99,WSW,1.61,2.09,934.64,93.46,27.60,0,0,0,0
12/1/2024,2:04 AM,-4.28,-4.39,99,SSE,3.06,3.86,934.98,93.50,27.61,0,0,0,0
12/1/2024,2:08 AM,-4.28,-4.39,99,SSE,3.86,5.63,934.98,93.50,27.61,0,0,0,0
12/1/2024,2:14 AM,-4.28,-4.39,99,SE,4.99,6.44,934.98,93.50,27.61,0,0,0,0
12/1/2024,2:19 AM,-4.28,-4.44,99,ESE,5.79,6.76,934.98,93.50,27.61,0,0,0,0
12/1/2024,2:23 AM,-4.33,-4.61,98,East,6.44,8.53,934.98,93.50,27.61,0,0,0,0
12/1/2024,2:29 AM,-4.28,-4.56,98,SE,4.67,6.76,934.98,93.50,27.61,0,0,0,0
12/1/2024,2:34 AM,-4.28,-4.56,98,East,7.72,8.53,934.98,93.50,27.61,0,0,0,0
