"","date","time","ms","level","temperature"
"1","7/1/2025","12:00:00 AM",0,9.3711,9.01
"2","7/1/2025","12:15:00 AM",0,9.3691,8.991
"3","7/1/2025","12:30:00 AM",0,9.3684,8.975
"4","7/1/2025","12:45:00 AM",0,9.367,8.966
"5","7/1/2025","1:00:00 AM",0,9.3657,8.95
"6","7/1/2025","1:15:00 AM",0,9.3646,8.936
"7","7/1/2025","1:30:00 AM",0,9.3633,8.926
"8","7/1/2025","1:45:00 AM",0,9.3624,8.92
"9","7/1/2025","2:00:00 AM",0,9.3624,8.906
"10","7/1/2025","2:15:00 AM",0,9.3611,8.893
"11","7/1/2025","2:30:00 AM",0,9.3598,8.883
"12","7/1/2025","2:45:00 AM",0,9.3584,8.877
"13","7/1/2025","3:00:00 AM",0,9.3579,8.866
"14","7/1/2025","3:15:00 AM",0,9.3567,8.857
"15","7/1/2025","3:30:00 AM",0,9.3566,8.848
"16","7/1/2025","3:45:00 AM",0,9.3564,8.85
"17","7/1/2025","4:00:00 AM",0,9.3555,8.841
"18","7/1/2025","4:15:00 AM",0,9.3542,8.839
"19","7/1/2025","4:30:00 AM",0,9.3532,8.83
"20","7/1/2025","4:45:00 AM",0,9.3529,8.826
"21","7/1/2025","5:00:00 AM",0,9.3524,8.821
"22","7/1/2025","5:15:00 AM",0,9.3522,8.821
"23","7/1/2025","5:30:00 AM",0,9.3524,8.821
"24","7/1/2025","5:45:00 AM",0,9.3535,8.824
"25","7/1/2025","6:00:00 AM",0,9.3559,8.82
"26","7/1/2025","6:15:00 AM",0,9.358,8.82
"27","7/1/2025","6:30:00 AM",0,9.3577,8.823
"28","7/1/2025","6:45:00 AM",0,9.3569,8.824
"29","7/1/2025","7:00:00 AM",0,9.3584,8.837
"30","7/1/2025","7:15:00 AM",0,9.3572,8.846
"31","7/1/2025","7:30:00 AM",0,9.36,8.866
"32","7/1/2025","7:45:00 AM",0,9.3612,8.91
"33","7/1/2025","8:00:00 AM",0,9.3629,8.971
"34","7/1/2025","8:15:00 AM",0,9.3635,9.046
"35","7/1/2025","8:30:00 AM",0,9.3642,9.128
"36","7/1/2025","8:45:00 AM",0,9.3652,9.204
"37","7/1/2025","9:00:00 AM",0,9.3663,9.284
"38","7/1/2025","9:15:00 AM",0,9.3666,9.38
"39","7/1/2025","9:30:00 AM",0,9.3673,9.475
"40","7/1/2025","9:45:00 AM",0,9.3674,9.561
"41","7/1/2025","10:00:00 AM",0,9.3675,9.628
"42","7/1/2025","10:15:00 AM",0,9.368,9.722
"43","7/1/2025","10:30:00 AM",0,9.3681,9.834
