date_time,location,datagrab_loc,temp_c,data_type
10/1/2024 0:00,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,5.290283,Provisional
10/1/2024 0:00,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.47176,Provisional
10/1/2024 0:00,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,12.4316,Provisional
10/1/2024 0:00,TNC LS Host,TNC LS Host / River Temp / WTemp1,11.60483,Provisional
10/1/2024 0:15,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,5.16565,Provisional
10/1/2024 0:15,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.40059,Provisional
10/1/2024 0:15,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,12.35921,Provisional
10/1/2024 0:15,TNC LS Host,TNC LS Host / River Temp / WTemp1,11.50864,Provisional
10/1/2024 0:30,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,5.013581,Provisional
10/1/2024 0:30,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.33007,Provisional
10/1/2024 0:30,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,12.29634,Provisional
10/1/2024 0:30,TNC LS Host,TNC LS Host / River Temp / WTemp1,11.41601,Provisional
10/1/2024 0:45,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.8927,Provisional
10/1/2024 0:45,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.26184,Provisional
10/1/2024 0:45,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,12.23015,Provisional
10/1/2024 0:45,TNC LS Host,TNC LS Host / River Temp / WTemp1,11.31595,Provisional
10/1/2024 1:00,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.853698,Provisional
10/1/2024 1:00,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.19837,Provisional
10/1/2024 1:00,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,12.15841,Provisional
10/1/2024 1:00,TNC LS Host,TNC LS Host / River Temp / WTemp1,11.21954,Provisional
10/1/2024 1:15,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.74823,Provisional
10/1/2024 1:15,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.13567,Provisional
10/1/2024 1:15,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,12.09842,Provisional
10/1/2024 1:15,TNC LS Host,TNC LS Host / River Temp / WTemp1,11.1268,Provisional
10/1/2024 1:30,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.603698,Provisional
10/1/2024 1:30,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.07369,Provisional
10/1/2024 1:30,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,12.03252,Provisional
10/1/2024 1:30,TNC LS Host,TNC LS Host / River Temp / WTemp1,11.04138,Provisional
10/1/2024 1:45,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.372956,Provisional
10/1/2024 1:45,Diversion Weir,Diversion Weir / uTemp / Water_Temp,12.01278,Provisional
10/1/2024 1:45,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.97692,Provisional
10/1/2024 1:45,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.96341,Provisional
10/1/2024 2:00,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.196747,Provisional
10/1/2024 2:00,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.95039,Provisional
10/1/2024 2:00,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.9084,Provisional
10/1/2024 2:00,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.88171,Provisional
10/1/2024 2:15,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.098816,Provisional
10/1/2024 2:15,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.88611,Provisional
10/1/2024 2:15,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.83838,Provisional
10/1/2024 2:15,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.79993,Provisional
10/1/2024 2:30,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,4.016479,Provisional
10/1/2024 2:30,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.81767,Provisional
10/1/2024 2:30,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.77681,Provisional
10/1/2024 2:30,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.71066,Provisional
10/1/2024 2:45,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,3.835998,Provisional
10/1/2024 2:45,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.74774,Provisional
10/1/2024 2:45,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.69752,Provisional
10/1/2024 2:45,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.62875,Provisional
10/1/2024 3:00,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,3.576691,Provisional
10/1/2024 3:00,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.67887,Provisional
10/1/2024 3:00,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.65399,Provisional
10/1/2024 3:00,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.54318,Provisional
10/1/2024 3:15,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,3.352478,Provisional
10/1/2024 3:15,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.60813,Provisional
10/1/2024 3:15,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.60232,Provisional
10/1/2024 3:15,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.45752,Provisional
10/1/2024 3:30,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,3.116181,Provisional
10/1/2024 3:30,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.53774,Provisional
10/1/2024 3:30,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.54287,Provisional
10/1/2024 3:30,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.36807,Provisional
10/1/2024 3:45,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,2.9151,Provisional
10/1/2024 3:45,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.46769,Provisional
10/1/2024 3:45,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.45757,Provisional
10/1/2024 3:45,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.29355,Provisional
10/1/2024 4:00,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,2.753204,Provisional
10/1/2024 4:00,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.39985,Provisional
10/1/2024 4:00,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.39034,Provisional
10/1/2024 4:00,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.21521,Provisional
10/1/2024 4:15,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,2.622864,Provisional
10/1/2024 4:15,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.33047,Provisional
10/1/2024 4:15,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.32675,Provisional
10/1/2024 4:15,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.14056,Provisional
10/1/2024 4:30,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,2.603088,Provisional
10/1/2024 4:30,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.25849,Provisional
10/1/2024 4:30,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.2347,Provisional
10/1/2024 4:30,TNC LS Host,TNC LS Host / River Temp / WTemp1,10.06219,Provisional
10/1/2024 4:45,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,2.563599,Provisional
10/1/2024 4:45,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.18381,Provisional
10/1/2024 4:45,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.15738,Provisional
10/1/2024 4:45,TNC LS Host,TNC LS Host / River Temp / WTemp1,9.994934,Provisional
10/1/2024 5:00,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,2.512176,Provisional
10/1/2024 5:00,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.10875,Provisional
10/1/2024 5:00,LSH-abvHartDiv,LSH-abvHartDiv / uTemp / Water_Temp,11.09448,Provisional
10/1/2024 5:00,TNC LS Host,TNC LS Host / River Temp / WTemp1,9.923981,Provisional
10/1/2024 5:15,Cowley_Riffle,Cowley_Riffle / uTemp / Water_Temp,2.488403,Provisional
10/1/2024 5:15,Diversion Weir,Diversion Weir / uTemp / Water_Temp,11.03555,Provisional
