"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.9,0.11,0.12,0.22,0.77,0.17,0.35,1
"2",1.15,0.11,0.12,0.24,0.75,0.15,0.35,2
"3",0.94,0.11,0.12,0.23,0.8,0.15,0.35,3
"4",0.89,0.11,0.12,0.23,0.72,0.14,0.35,4
"5",0.89,0.11,0.12,0.23,0.76,0.14,0.35,5
"6",0.89,0.1,0.12,0.23,0.76,0.16,0.42,6
"7",0.89,0.1,0.12,0.23,0.69,0.19,0.4,7
"8",0.89,0.11,0.12,0.24,0.7,0.15,0.4,8
"9",1.02,0.11,0.12,0.24,0.81,0.14,0.45,9
"10",3.57,0.11,0.12,0.24,0.78,0.14,0.4,10
"11",3.66,0.11,0.12,0.23,0.84,0.14,0.4,11
"12",9.65,0.11,0.12,0.23,0.84,0.19,0.42,12
"13",4.27,0.11,0.12,0.21,0.79,0.19,0.57,13
"14",2.18,0.11,0.12,0.23,0.79,0.16,0.57,14
"15",1.62,0.11,0.12,0.22,0.79,0.16,0.52,15
"16",0.97,0.11,0.12,0.22,0.79,0.15,0.54,16
"17",0.85,0.11,0.12,0.22,0.79,0.15,0.49,17
"18",0.89,0.11,0.12,0.21,0.71,0.14,0.5,18
"19",1.11,0.1,0.11,0.21,0.69,0.14,0.48,19
"20",0.94,0.1,0.13,0.22,0.69,0.18,0.45,20
"21",0.89,0.11,0.14,0.22,0.69,0.15,0.4,21
"22",0.89,0.12,0.13,0.24,0.69,0.15,0.45,22
"23",0.84,0.12,0.14,0.26,0.67,0.2,0.44,23
"24",0.84,0.12,0.15,0.23,0.67,0.19,0.4,24
"25",0.84,0.11,0.13,0.22,0.76,0.2,0.45,25
"26",1.07,0.11,0.13,0.26,0.73,0.21,0.46,26
"27",0.74,0.11,0.12,0.22,0.69,0.18,0.49,27
"28",0.74,0.11,0.13,0.24,0.72,0.18,0.42,28
"29",0.75,0.11,0.13,0.23,0.72,0.17,0.4,29
"30",0.87,0.11,0.14,0.22,0.69,0.17,0.41,30
"31",0.74,0.11,0.13,0.23,0.64,0.17,0.41,31
"32",0.82,0.11,0.13,0.23,0.64,0.17,0.41,32
"33",0.79,0.11,0.15,0.22,0.62,0.19,0.41,33
"34",0.84,0.11,0.15,0.22,0.61,0.18,0.43,34
"35",1.06,0.1,0.15,0.23,0.61,0.19,0.45,35
"36",0.89,0.1,0.17,0.27,0.68,0.19,0.47,36
"37",0.79,0.14,0.15,0.26,0.67,0.19,0.5,37
"38",0.89,0.13,0.16,0.25,0.78,0.19,0.58,38
"39",1.45,0.11,0.17,0.26,0.82,0.21,0.58,39
"40",1.06,0.11,0.18,0.3,0.76,0.21,0.58,40
"41",1.11,0.15,0.17,0.29,0.73,0.21,0.42,41
"42",2.82,0.17,0.21,0.27,0.78,0.23,0.57,42
"43",2.68,0.18,0.19,0.29,1.01,0.23,0.61,43
"44",8.68,0.17,0.19,0.28,1.06,0.21,0.63,44
"45",4.34,0.14,0.17,0.25,0.99,0.19,0.76,45
"46",1.68,0.14,0.17,0.35,1.15,0.18,0.71,46
"47",1.07,0.16,0.17,0.34,0.9,0.19,0.74,47
"48",1.2,0.12,0.16,0.32,0.88,0.2,0.65,48
"49",1.01,0.12,0.16,0.4,0.78,0.25,0.64,49
"50",1.22,0.13,0.15,0.35,0.74,0.19,0.6,50
"51",1.22,0.12,0.15,0.36,0.86,0.25,0.61,51
"52",1.01,0.12,0.15,0.34,0.7,0.22,0.57,52
"53",0.89,0.12,0.18,0.33,0.6,0.22,0.53,53
"54",0.79,0.12,0.17,0.35,0.57,0.24,0.51,54
"55",1.68,0.11,0.2,0.46,0.67,0.3,0.57,55
"56",1.97,0.11,0.19,0.44,0.78,0.25,0.66,56
"57",3.99,0.11,0.2,0.49,1.06,0.33,0.59,57
"58",1.9,0.11,0.21,0.43,0.94,0.32,0.57,58
"59",1.07,0.18,0.21,0.36,0.79,0.3,0.57,59
"60",2.36,0.18,0.19,0.41,0.71,0.3,0.6,60
"61",2.64,0.17,0.19,0.45,0.79,0.3,0.64,61
"62",5.48,0.18,0.2,0.5,1.27,0.27,0.84,62
"63",4.5,0.18,0.22,0.54,1.14,0.27,0.84,63
"64",4.36,0.18,0.2,0.6,0.99,0.27,0.84,64
"65",2.09,0.18,0.22,0.57,1.29,0.29,0.77,65
"66",3.26,0.18,0.23,0.55,1.14,0.3,0.79,66
"67",2.09,0.18,0.24,0.57,1.19,0.29,0.83,67
"68",1.69,0.18,0.23,0.5,1.33,0.31,0.71,68
"69",1.79,0.18,0.24,0.46,1.35,0.3,0.88,69
"70",2.18,0.21,0.24,0.49,0.95,0.32,0.79,70
"71",3.62,0.11,0.22,0.54,1.01,0.3,0.74,71
"72",3.06,0.07,0.24,0.61,0.92,0.3,0.72,72
"73",1.46,0.12,0.23,0.57,1.17,0.34,0.75,73
"74",1.93,0.12,0.23,0.61,1.12,0.38,0.88,74
"75",7.81,0.12,0.23,0.55,0.98,0.41,0.75,75
"76",4.09,0.12,0.23,0.54,0.95,0.38,0.82,76
"77",2.21,0.12,0.29,0.54,1.17,0.37,0.81,77
"78",5.66,0.12,0.32,0.51,2.23,0.35,0.94,78
"79",3.41,0.12,0.26,0.5,1.62,0.32,1.21,79
"80",2.99,0.23,0.26,0.61,2.07,0.37,1.06,80
"81",4,0.23,0.27,0.65,2.03,0.37,1.2,81
"82",13.56,0.23,0.28,0.67,3.55,0.35,1.27,82
"83",25.88,0.22,0.23,0.67,3.09,0.34,0.94,83
