"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",72.2,108,169,187.75,225.6,"DS_Dur_WS",3917176,"observed"
"DS_Tim",278,286,299,311,323,"DS_Tim",3917176,"observed"
"DS_Mag_50",2.96,3.625,4.45,5.4125,8.05,"DS_Mag_50",3917176,"observed"
"DS_Mag_90",3.86,4.63,6.935,11,16.1,"DS_Mag_90",3917176,"observed"
"FA_Dur",2,2,2,3.75,5,"FA_Dur",3917176,"observed"
"FA_Mag",7.82607502464289,10.8959595495242,16.9876478730991,20.6711936167467,22.3754457560588,"FA_Mag",3917176,"observed"
"FA_Tim",12.9,24.25,39,42.75,54.9,"FA_Tim",3917176,"observed"
"SP_ROC",0.0416666666666667,0.0459830866807611,0.0505050505050505,0.0625,0.0714285714285714,"SP_ROC",3917176,"observed"
"SP_Dur",69,72,78,96,107,"SP_Dur",3917176,"observed"
"SP_Mag",36,54,78,103,133,"SP_Mag",3917176,"observed"
"SP_Tim",189,194,223,236,248,"SP_Tim",3917176,"observed"
"Wet_BFL_Dur",63.9,88.5,124,155.25,177.9,"Wet_BFL_Dur",3917176,"observed"
"Wet_BFL_Mag_10",4.269,5.165,8.52,10.25,13,"Wet_BFL_Mag_10",3917176,"observed"
"Wet_BFL_Mag_50",9.19,13,23.5,31.25,45.75,"Wet_BFL_Mag_50",3917176,"observed"
"Wet_Tim",34.5,54,95,128,151.1,"Wet_Tim",3917176,"observed"
"Peak_Tim_10",87.6,97.5,114,123.75,129.6,"Peak_Tim_10",3917176,"observed"
"Peak_Tim_2",81,102,133,158.5,197.5,"Peak_Tim_2",3917176,"observed"
"Peak_Tim_5",23.8,43,81,113,125,"Peak_Tim_5",3917176,"observed"
"Peak_Dur_10",1.2,1.5,2,2.5,2.8,"Peak_Dur_10",3917176,"observed"
"Peak_Dur_2",1,1,4,7.5,9,"Peak_Dur_2",3917176,"observed"
"Peak_Dur_5",1,1,2,4,4.6,"Peak_Dur_5",3917176,"observed"
"Peak_10",269,269,269,269,269,"Peak_10",3917176,"observed"
"Peak_2",130,130,130,130,130,"Peak_2",3917176,"observed"
"Peak_5",208,208,208,208,208,"Peak_5",3917176,"observed"
"Peak_Fre_10",1,1,1,1.5,1.8,"Peak_Fre_10",3917176,"observed"
"Peak_Fre_2",1,1,2,3.5,4,"Peak_Fre_2",3917176,"observed"
"Peak_Fre_5",1,1,1,1,1.6,"Peak_Fre_5",3917176,"observed"
