"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","1958",155,285,5.4,9.24,5,19.0018006894618,12,0.066120218579235,55,78,230,164,13,31,66,NA,133,43,NA,7,1,269,130,208,NA,4,1
"2","1959",214,286,2.6,3.5,5,12.9730595119863,43,0.0801282051282051,97,18,189,115,5.7,7.8,74,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"3","1960",105,296,2.4,2.8,NA,NA,NA,0.0571428571428572,73,67,223,89,5,23,134,NA,158,NA,NA,1,NA,269,130,208,NA,1,NA
"4","1961",119,298,3,3.9,NA,NA,NA,0.0714285714285714,50,56,248,213,3.9,10,35,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"5","1962",NA,289,NA,NA,3,6.08958314978569,26,0.0495901639344262,96,72,193,142,4.31,9.3,51,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"6","1963",170,294,4.2,5.7,6,207.774539652017,11,0.053169014084507,72,54,222,NA,NA,NA,NA,NA,159,11,NA,4,1,269,130,208,NA,4,1
"7","1964",73,323,4.2,4.68,2,16.9619040357187,39,0.0680555555555556,69,106,254,156,9.6,29,98,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"8","1965",215,278,5.3,9.06,NA,NA,NA,0.0472470238095238,74,103,204,174,9.69,27.5,30,81,81,81,3,5,4,269,130,208,1,1,1
"9","1966",257,260,3.9,18,2,10.9804273682547,42,0.0625,70,53,190,63,5.22,14,127,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"10","1967",168,310,4.9,7,2,20.9119674955235,50,0.0555555555555556,72,133,238,87,14.6,28,151,NA,227,NA,NA,8,NA,269,130,208,NA,3,NA
"11","1968",240,278,3.7,16,NA,NA,NA,0.0769230769230769,127,46,151,39,5.5,8.2,112,NA,145,NA,NA,1,NA,269,130,208,NA,1,NA
"12","1969",109,312,4.7,5.6,2,9.09398145442609,42,0.0481997677119628,86,95,226,74,11,69.5,152,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"13","1970",170,285,5.45,15.1,3,10.8678036099474,15,0.05,166,160,119,64,3.8,17.5,55,114,97,113,1,4,2,269,130,208,1,2,1
"14","1971",141,317,8.5,11,2,19.9488719804164,39,0.0505050505050505,94,134,223,134,13,43.5,89,NA,197.5,NA,NA,9,NA,269,130,208,NA,6,NA
"15","1972",179,310,8,11,2,17.0133917104794,57,0.0416666666666667,74,94,236,144,11,66,92,133.5,131.5,133,2,13,5,269,130,208,2,2,2
"16","1973",65,311,3.4,4.48,NA,NA,NA,0.0333425951653237,99,36,212,89,8.48,14,123,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"17","1974",178,302,6,8.53,NA,NA,NA,0.0425724637681159,79,85,223,213,6.2,24,10,NA,107,NA,NA,1,NA,269,130,208,NA,1,NA
"18","1975",172,325,9.2,17,2,22.9947241224195,75,0.0526315789473684,78,107,247,133,8.56,33,114,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"19","1976",224,299,4,6.87,2,20.9304629012171,25,0.0459830866807611,73,75,226,95,10,32,131,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"20","1977",63,342,3.1,4.4,NA,NA,NA,0.0363756613756613,88,20,254,97,4.6,9.9,157,NA,NA,NA,NA,NA,NA,269,130,208,NA,NA,NA
"21","1978",104,301,4.7,5.6,4,7.2826865547358,24,0.0425531914893617,107,100,194,155,9.48,22,39,NA,74,NA,NA,1,NA,269,130,208,NA,1,NA
