"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.73,0.42,0.46,0.56,0.68,0.53,0.61,1
"2",0.73,0.42,0.46,0.56,0.68,0.53,0.61,2
"3",0.73,0.44,0.48,0.56,0.68,0.53,0.61,3
"4",0.73,0.5,0.52,0.56,0.68,0.55,0.61,4
"5",0.73,0.43,0.47,0.56,0.68,0.53,0.61,5
"6",0.73,0.48,0.51,0.56,0.68,0.54,0.61,6
"7",0.72,0.42,0.47,0.56,0.67,0.53,0.6,7
"8",0.64,0.42,0.46,0.56,0.62,0.53,0.59,8
"9",0.71,0.4,0.45,0.56,0.67,0.52,0.6,9
"10",0.73,0.38,0.44,0.56,0.68,0.52,0.61,10
"11",0.74,0.37,0.43,0.6,0.7,0.51,0.66,11
"12",0.73,0.36,0.42,0.63,0.72,0.51,0.7,12
"13",0.73,0.38,0.43,0.62,0.72,0.52,0.69,13
"14",0.73,0.42,0.46,0.62,0.72,0.53,0.69,14
"15",0.73,0.42,0.46,0.62,0.72,0.53,0.69,15
"16",0.77,0.42,0.46,0.63,0.74,0.53,0.71,16
"17",0.93,0.39,0.44,0.63,0.86,0.52,0.76,17
"18",0.86,0.36,0.42,0.64,0.82,0.51,0.76,18
"19",1,0.36,0.43,0.62,0.89,0.53,0.74,19
"20",0.95,0.36,0.44,0.66,0.87,0.56,0.75,20
"21",0.84,0.39,0.46,0.64,0.78,0.58,0.69,21
"22",0.86,0.42,0.47,0.62,0.8,0.55,0.7,22
"23",0.84,0.42,0.47,0.6,0.77,0.55,0.66,23
"24",0.84,0.42,0.46,0.57,0.76,0.53,0.64,24
"25",0.84,0.42,0.46,0.6,0.78,0.53,0.69,25
"26",0.84,0.42,0.46,0.63,0.79,0.53,0.73,26
"27",0.91,0.42,0.46,0.62,0.84,0.53,0.74,27
"28",0.92,0.47,0.5,0.62,0.85,0.54,0.75,28
"29",0.94,0.47,0.51,0.64,0.86,0.56,0.75,29
"30",0.91,0.49,0.55,0.75,0.88,0.63,0.83,30
"31",0.96,0.47,0.56,0.85,0.96,0.68,0.95,31
"32",1.06,0.56,0.6,0.82,1.03,0.65,0.99,32
"33",1.15,0.67,0.71,0.88,1.09,0.77,1.01,33
"34",1.2,0.7,0.76,1.03,1.19,0.85,1.16,34
"35",1.15,0.66,0.74,1.01,1.14,0.84,1.12,35
"36",1.05,0.65,0.73,0.96,1.04,0.84,1.02,36
"37",1.05,0.67,0.76,1,1.04,0.91,1.02,37
"38",1.05,0.68,0.77,0.99,1.04,0.89,1.03,38
"39",1.05,0.7,0.78,0.99,1.04,0.9,1.03,39
"40",1.05,0.7,0.79,1.02,1.05,0.92,1.05,40
"41",1.06,0.71,0.81,1.05,1.05,0.96,1.05,41
"42",1.05,0.71,0.8,1.02,1.04,0.94,1.03,42
"43",1.09,0.7,0.78,0.98,1.06,0.9,1.01,43
"44",1.15,0.71,0.8,1.08,1.15,0.94,1.15,44
"45",1.32,0.71,0.82,1.1,1.26,0.99,1.17,45
"46",1.44,0.71,0.8,1.03,1.32,0.93,1.15,46
"47",1.26,0.71,0.81,1.04,1.2,0.95,1.1,47
"48",1.08,0.71,0.8,1.02,1.07,0.93,1.06,48
"49",1.23,0.71,0.78,0.99,1.18,0.88,1.09,49
"50",1.07,0.7,0.77,1,1.06,0.88,1.05,50
"51",1.14,0.69,0.76,1,1.11,0.88,1.08,51
"52",1.25,0.73,0.77,0.96,1.19,0.84,1.1,52
"53",1.13,0.77,0.83,1.01,1.11,0.91,1.08,53
"54",1.06,0.84,0.86,0.98,1.05,0.89,1.05,54
"55",1.51,0.77,0.78,0.94,1.37,0.8,1.17,55
"56",1.12,0.71,0.74,0.92,1.1,0.77,1.07,56
"57",1.16,0.71,0.73,0.88,1.11,0.75,1.03,57
"58",1.59,0.72,0.74,0.91,1.43,0.76,1.18,58
"59",1.13,0.76,0.77,0.91,1.1,0.79,1.05,59
"60",1.07,0.74,0.76,0.94,1.06,0.8,1.06,60
"61",1.09,0.73,0.77,0.92,1.06,0.82,1.01,61
"62",1.15,0.71,0.74,0.9,1.1,0.8,1.01,62
