"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",96.3,110.25,133.5,156.75,170.7,"DS_Dur_WS",3917198,"observed"
"DS_Tim",282,282,282,282.5,282.8,"DS_Tim",3917198,"observed"
"DS_Mag_50",6.09896,6.2474,6.4948,6.7422,6.89064,"DS_Mag_50",3917198,"observed"
"DS_Mag_90",7.531147,8.3278675,9.655735,10.9836025,11.780323,"DS_Mag_90",3917198,"observed"
"FA_Dur",3,3,3,3,3,"FA_Dur",3917198,"observed"
"FA_Mag",14.0901273041927,14.0901273041927,14.0901273041927,14.0901273041927,14.0901273041927,"FA_Mag",3917198,"observed"
"FA_Tim",53,53,53,53,53,"FA_Tim",3917198,"observed"
"SP_ROC",0.0374728311112903,0.0376719456307259,0.0380038031631187,0.0424394015815593,0.0451007606326237,"SP_ROC",3917198,"observed"
"SP_Dur",86.2,86.5,87,122.5,143.8,"SP_Dur",3917198,"observed"
"SP_Mag",31.1854,31.90105,33.0938,49.0469,58.61876,"SP_Mag",3917198,"observed"
"SP_Tim",138.4,160,196,196,196,"SP_Tim",3917198,"observed"
"Wet_BFL_Dur",104,110,120,151.5,170.4,"Wet_BFL_Dur",3917198,"observed"
"Wet_BFL_Mag_10",8.173436,8.53808,9.14582,10.14477,10.74414,"Wet_BFL_Mag_10",3917198,"observed"
"Wet_BFL_Mag_50",11.08752,11.90625,13.2708,17.3854,19.85416,"Wet_BFL_Mag_50",3917198,"observed"
"Wet_Tim",5.8,8.5,13,54.5,79.4,"Wet_Tim",3917198,"observed"
"Peak_Tim_10",188,188,188,188,188,"Peak_Tim_10",3917198,"observed"
"Peak_Tim_2",128.4,144,170,173.25,175.2,"Peak_Tim_2",3917198,"observed"
"Peak_Tim_5",183,183,183,183,183,"Peak_Tim_5",3917198,"observed"
"Peak_Dur_10",3,3,3,3,3,"Peak_Dur_10",3917198,"observed"
"Peak_Dur_2",1.2,1.5,2,12.5,18.8,"Peak_Dur_2",3917198,"observed"
"Peak_Dur_5",11,11,11,11,11,"Peak_Dur_5",3917198,"observed"
"Peak_10",61.46,61.46,61.46,61.46,61.46,"Peak_10",3917198,"observed"
"Peak_2",47.5814,47.5814,47.5814,47.5814,47.5814,"Peak_2",3917198,"observed"
"Peak_5",57.92,57.92,57.92,57.92,57.92,"Peak_5",3917198,"observed"
"Peak_Fre_10",3,3,3,3,3,"Peak_Fre_10",3917198,"observed"
"Peak_Fre_2",1.2,1.5,2,4,5.2,"Peak_Fre_2",3917198,"observed"
"Peak_Fre_5",3,3,3,3,3,"Peak_Fre_5",3917198,"observed"
