"","comid","metric","p10","p25","p50","p75","p90","source","result_type"
"55812",3917198,"Peak_Dur_2",2,2,5,9,19,"inferred","predicted"
"126532",3917198,"Peak_Dur_5",1.8,2,3,4,4.4,"inferred","predicted"
"197252",3917198,"Peak_Fre_2",1,1,2,2,4,"inferred","predicted"
"267972",3917198,"Peak_Fre_5",1,1,1,2,2,"inferred","predicted"
"303296",3917198,"Peak_10",179.508476671892,385.27413303198,610.149251718697,1093.21928335135,1621.36155139604,"model","predicted"
"443542",3917198,"Peak_2",77.1951282374344,124.93420967595,325.356667789328,463.025777917589,787.46887246666,"model","predicted"
"583788",3917198,"Peak_5",145.425574009456,328.047921391369,496.397777446952,793.553623413112,1140.30522610344,"model","predicted"
"20416100",3917198,"DS_Dur_WS",80.495,110.447916666667,148.329166666667,194.375,227.145,"model","predicted"
"16066210",3917198,"DS_Mag_50",0.924005874900795,3.69972220211014,8.68270192600246,14.5404708410191,19.5860578712166,"model","predicted"
"3009081",3917198,"DS_Mag_90",1.55068503799847,4.40382983294311,10.7277862973599,21.2758531780023,35.1986238206786,"model","predicted"
"4411541",3917198,"DS_Tim",263.6975,284,299.183333333334,315.925,333.640833333333,"model","predicted"
"6167961",3917198,"FA_Dur",2,3,4,6,8,"obs","predicted"
"6521201",3917198,"FA_Mag",7.28845015192934,14.3594626193723,27.49738934575,46.8406489496779,74.0681513450715,"model","predicted"
"792366",3917198,"FA_Tim",6,16.5833333333333,32.3166666666666,46.53125,60.6083333333333,"model","predicted"
"1388746",3917198,"Peak_Dur_10",1,1,1,1,2,"obs","predicted"
"1600906",3917198,"Peak_Fre_10",1,1,1,1,1.5,"obs","predicted"
"1777670",3917198,"SP_Dur",40.9733333333333,57,77.6458333333333,99,127.426666666667,"model","predicted"
"1917916",3917198,"SP_Mag",25.1676660269105,52.8665581754188,90.0345663464571,171.120068428926,308.161853050953,"model","predicted"
"2093558",3917198,"SP_ROC",0.0394917870142631,0.0472706958927432,0.0555555555555556,0.0669819195397159,0.0814108947291023,"obs","predicted"
"2128882",3917198,"SP_Tim",160.965,199,223.45,239,250.615,"model","predicted"
"2269128",3917198,"Wet_BFL_Dur",59.3875,83.8875,120.5625,174.458333333333,210.925,"model","predicted"
"2409374",3917198,"Wet_BFL_Mag_10",1.09338840642764,4.06638404219795,10.8320824004898,19.8606566801604,27.6987003367553,"model","predicted"
"2549620",3917198,"Wet_BFL_Mag_50",5.02643636309669,14.1971455689923,32.4971356028388,48.2949937543415,68.9665049129196,"model","predicted"
"2689866",3917198,"Wet_Tim",22.5,39.84375,73.75,117.7125,148.656666666666,"model","predicted"
